qid,query,answer_norm,answer_enum
-6.43106892688669E+018,how many words are in national anthem of pakistan,49,
-5.19008181310911E+018,how many countries are a part of opec,13,"[Algeria,Angola,Congo,Equatorial Guinea,Gabon,Iran,Iraq,Kuwait,Libya,Nigeria,Saudi Arabia,United Arab Emirates,Venezuela]"
-8.47393047449879E+018,how many languages do they speak in africa,2000,"[Afrikaans,Arabic,Portuguese,Swahili,French,Somali,Berber,Amharic,Igbo,Oromo]"
-2.12723169529363E+018,how many prime ministers have there been in uk,55,"[Boris Johnson,Theresa May,David Cameron,Gordon Brown,Tony Blair,Margaret Thatcher,James Callaghan,Harold Wilson,Edward Heath,Jon Major]"
8.71183503444988E+018,how many stores do zara have in the uk,60,"[Aberdeen,Glasgow,Dundee,Edinburgh,London]"
-7.13125697646194E+018,how many episodes of corrie has there been,10582,
-1.68261643358063E+018,how many tornado planes does the uk have,,
-6.59293018557956E+018,how many strong verbs are there in german,200,
8.18679324027251E+018,how many states in india have atleast one international border,17,"[Gujarat,Rajasthan,Punjab,Jammu and Kashmir,Himachal Pradesh,Uttarakhand,Uttar Pradesh,Bihar,West Bengal,Sikkim,Assam,Arunachal Pradesh,Meghalaya,Nagaland,Maniput,Mizoram,Tripura]"
-4.06696668589602E+018,how many departments are there within the british ministry of magic,7,"[Department of Magical Law Enforcement,Department of Magical Game and Sports,Department of International Magical Cooperation,Department of Magical Accidents and Catastrophes,Department for the Regulation and Control of Magical Creatures,Department of Magical Transportation,Department of Myteries]"
2.51627020878909E+018,how many states are north of the southernmost point of canada,27,"[Alaska,Washington,Idaho,Montana,North Dakota,Minnesota,Michigan,Wisconsin,New York,Maine]"
-6.11266037808361E+018,how many types of cheese are produced in france,400,"[Cancoillotte Cheese,Blue Cheese,Brie de Meaux,Brie de Melun,Camembert de Normandie,Comte Cheese,Abondance Cheese,Faisselle Cheese,Banon Cheese,Mimolette Cheese]"
-4.60113620007387E+018,how many episodes in great british bake off 2017,10,
-6.98511089592348E+018,how many gold medals won by india in 2018 commonwealth games,26,"""[Weightlifting Women's 48 kg,Weightlifting Men's 85 kg,Weightlifting Women's 69 kg,Shooting Women's meter air pistol,Shooting Men's 10 metre air pistol,Table Tennis Women's team,Table Tennis Men's team,Badminton Mixed team,Wrestling Men's freestyle 57 kg,Boxing Women's light flyweight 48 kg]"""
1.44609904759636E+018,how many stores does lowes have in canada,64,"[Edmonton (Alberta),Calgary (Alberta),Toronto (Ontario),Windsor (Ontario),Winnipeg (Manitoba),Brampton (Ontario),Victoria (British Columbia),London (Ontario),Orleans (Ontario),Maple (Ontario)]"
-8.45167567624885E+018,how many times have real madrid won the european cup in paris,2,"[1999–2000 UEFA Champions League,1955–56 European Cup]"
-1.65094601520178E+018,how many cracker barrels in the united states,664,"[San Antonio (Texas),Knoxville (Tennessee),Louisville (Kentucky),Nashville (Tennessee),Jacksonville (Florida),Cincinnati (Ohio),Chattanooga (Tennessee),Chesapeake (Virginia),Indianapolis (Indiana),Columbia (South Carolina)]"
-6.78124957138442E+018,how many episodes of ray donovan series 3 are there,12,"[The Kalamazoo,Ding,Come and Knock on Our Door,Breakfast of Champions,Handshake Deal,Swing Vote,All Must be Loved,Tulip,The Octopus,One Night in Yerevan,Poker,Exsuscito]"
-8.04538540773052E+018,how many branches of reserve bank of india in india,31,"[Jammu,Chandigarh,Chennai,New Delhi,Jaipur,Hyderabad,Kolkata,Mumbai,Bengaluru]"
-3.82000185117421E+018,how many hilton hotels are there in the uk,145,"[Hilton York,Hilton Manchester Deansgate,Hilton London Bankside,Hilton Leeds City,Hilton London Wembley,Hilton London Metropole,Hilton London Canray Wharf,Hilton Liverpool City Centre,Hilton Leicester Hotel,Hilton London Watford]"
-1.13316159784215E+017,how many medals has the american team won,2629,
-5.20122489597352E+018,how many indian prime ministers were born in independent india,1,[Narendra Damodardas Modi]
-5.69551251052265E+018,how many times has alabama been to the rose bowl,7,
-3.8036972865815E+018,how many world series wins does the dodgers have,7,"[2020 World Series Championship,1988 World Series Championship,1981 World Series Championship,1965 World Series Championship,1963 World Series Championship,1959 World Series Championship,1955 World Series Championship]"
7.8027934367153E+018,how many times has south korea held the winter olympics,1,[2018 Winter Olympics]
-8.24790178184147E+018,how many times have the winter olympics been in the usa since 1924,3,"[1960 Winter Olympics,1980 Winter Olympics,2002 Winter Olympics]"
3.98241129773196E+018,how many pennsylvania house of representatives are there,203,"[Pat Harkins,Robert Merski,Ryan Bizzarro,Curt Sonney,Barry Jozwiak,Brad Roae,Mark Longietti,Tim Bonner,Chris Sainato,Aaron Bernstine]"
5.2776622447321E+018,how many nfl teams has st louis had,4,"[St. Louis All-Stars,St. Louis Gunners,St. Louis Cardinals,St. Louis Rams,St. Louis Battlehawks]"
1.1548675048219E+018,how many indian elephants are there in the world,30000,
1.55016074604518E+018,how many nuclear power plants in washington state,1,[Columbia Generating station (Richland)]
7.8754276715627E+018,how many ncaa football games in a season,,
1.94725545516334E+018,the secret of crickley hall how many episodes,3,
7.09246617737395E+018,how many states in america have new in them,4,"[New Hampshire,New Jersey,New Mexico,New York]"
2.79593219197715E+018,how many house of representative do we have in nigeria,360,
6.33274042065066E+018,how many gold medals did australia win in the 2000 olympics,16,"[Swimming 2000 Olympics,Sailing 2000 Olympics,Athletics 2000 Olympics,Archery 2000 Olympics,Cycling 2000 Olympics,Equestrian 2000 Olympics,Field Hockey 2000 Olympics,Shooting 2000 Olympics,Taekwondo 2000 Olympics,Volleyball 2000 Olympics,Water polo 2000 Olympics]"
-4.19827317161175E+018,how many counties does the state of georgia have,159,"[Appling County,Atkinson County,Bacon County,Baker County,Baldwin County,Banks County,Barrow County,Bartow County,Ben Hill County,Berrien County]"
-4.70718540436406E+018,since 1910 how many members are elected to the house of representatives,435,
7.78838623412703E+018,how many medals did austria win in the 2011 alpine skiing world championships,8,"“[Men's Super-G,Men's Giant slalom,Women's Downhill,Women's Super-G,Women's Slalom,Women's Super combined,Team event]”"
-3.40354289239511E+018,how many votes to approve supreme court justice,60,
8.59403024339457E+018,how many senators are there in the us senate,100,
-3.31751834641432E+017,how many breeds of pigs are there in the uk,22,"[Bershire Pig,British Landrace Pig,British Lop Pig,British Saddleback Pig,Essex Pig,Gloucestershire Old Spots Pig,Grice Pig,Hampshire Pig,Huntingdon Black Pig,Iron Age Pig,Large Black Pig,Large White Pig,Lincolnshire Curly Coat Pig,Middle White Pig,Oxford Sandy and Black Pig,Pennywell miniature Pig,Tamworth Pig,Welsh Pig,Wessex Saddleback Pig]"
8.09577953918649E+018,how many us states are commonwealths and which states are they,4,"[Commonwealth of Kentucky,Commonwealth of Massachusetts,Commonwealth of Pennsylvania,Commonwealth of Virginia]"
3.13954062945328E+018,how many paintings of sunflowers did van gogh paint,12,"[The Paris Sunflowers,Four Cut Sunflowers,Two Cut Sunflowers,The Arles Sunflowers,Vase with Five Sunflowers,Vase with Fifteen Sunflowers,Vase with Twelve Sunflowers,Three Sunflowers in a Vase]"
-7.15506352535996E+018,how many nfl games were played in london,22,
-6.4801406772714E+018,how many jimmy johns are there in the us,2752,"""[Jimmy John's In Phoenix,Jimmy John's In Tucson,Jimmy John's In Rancho Cucamonga,Jimmy John's In Los Alamitos,Jimmy John's In Glendale,Jimmy John's In City Of Industry,Jimmy John's In Northglenn,Jimmy John's In Estes Park,Jimmy John's In Pompano Beach,Jimmy John's In Cadillac]"""
-2.57650733189302E+018,how many casinos are in atlantic city new jersey,9,"""[Bally's Atlantic City,Borgata Hotel Casino & Spa,Caesars Atlantic City,Golden Nugget Atlantic City,Hard Rock Hotel & Casino Atlantic City,Harrah's Resort Atlantic City,Ocean Casino Resort,Resorts Casino Hotel,Tropicana Atlantic City,]"""
6.79213185866747E+018,how many vowels are in the thai alphabet,32,
8.78336120619189E+018,how many rooms is there in buckingham palace,775,
3.40650990470213E+018,how many hospitals are there in the united states,6093,"[Mayo Clinic Rochester,Cleveland Clinic,Massachusetts General Hospital,The Johns Hopkins Hospital,UCLA Health Ronald Reagan Medical Center,Brigham And Women's Hospital,Stanford University Medical Center,New York-Presbyterian Hospital,Northwestern Memorial Hospital,The Mount Sinai Hospital]"
-1.35640565081093E+018,how many countries touches the land boundary of india,7,"[Bangladesh,Bhutan,China,Myanmar,Nepal,Pakistan,Sri Lanka]"
-2.31451205903354E+018,how many countries participated for the first time in the 2014 olympic winter games in sochi,7,"[Commonwealth of Dominica,Republic of Malta,Republic of Paraguay,Democratic republic of Timor-Leste,Togolese Republic,Kingdom of Tonga,Republic of Zimbabwe]"
-6.47096102307574E+018,how many games have the eagles lost this season,8,
1.66012252496314E+018,how many seasons of johnny bravo are there,4,"[Johnny Bravo Season 1 1997,Johnny Bravo Season 2 1999-2000,Johnny Bravo Season 3 2000-02,Johnny Bravo Season 4 2004]"
-4.29589013498268E+018,how many seasons of jack taylor are on netflix,3,"[Jack Taylor Series 1 2010-11,Jack Taylor Series 2 2013,Jack Taylor Series 3 2016]"
8.8650538646624E+018,how many astronauts has nasa sent into space,600,"[Bill Anders,Neil Armstrong,Cady Coleman,Frank Borman,Jim Lovell,Buzz Aldrin,Alan Shepard,Michael Collins,Jhon Glen,Scott Kelly]"
7.87737704570324E+018,how many indian astronauts have gone to space,1,[Rakesh Sharma]
-5.07746958386807E+018,how many fires are going on in southern california right now,,
-3.67649496057923E+018,how many human rights are there in uk,17,"[ECHR article 2,ECHR article 4,ECHR article 5,ECHR article 6,ECHR article 8,ECHR article 9,ECHR article 10,ECHR article 11,ECHR article 3,Marriage,Right to Property,Freedom from discrimination,Electoral rights]"
-5.99233070277493E+018,how many countries have english as first language,18,"[United States of America,United Kingdom,New Zealand,Australia,Ireland,The Bahamas,Canada,Dominica,Grenada,Guyana]"
7.1627775740252E+018,how many us states currently use capital punishment,27,"[Arizona,Texas,Oklahoma,Nebraska,South Dakota,Idaho,Missouri,Arkansas,Florida,Tenessee]"
5.38993759567782E+018,how many us troops does the united states have,2100000,
1.98237860316348E+018,how many cities make up the state of florida today,282,"[Jacksonville Florida,Miami Florida,Tampa Florida,Orlando Florida,St. Petersburg Florida,Hialeah Florida,Port St. Lucie Florida,Tallahassee Florida,Cape Coral Florida,Fort Lauderdale Florida]"
8.55123150815882E+018,how many seasons are in star wars the clone wars,7,"[Season 1 (2008–09),Season 2: Rise of the Bounty Hunters (2009–10),Season 3: Secrets Revealed (2010–11),Season 4: Battle Lines (2011–12),Season 5 (2012–13),Season 6: The Lost Missions (2014),Season 7: The Final Season (2020)]"
1.50302610225762E+018,how many hotels and casinos are in las vegas,30,"[MGM Grand Las Vegas,Flamingo Las Vegas,Westgate Las Vegas,Wynn Las Vegas,Sahara Las Vegas,The Strat Las Vegas,Cosmopolitan of Las Vegas,Riviera hotel and Casino,Excalibur Hotel and Casino,Casino Royale Hotel & Casino]"
