"qid","query","answer.default","answer_norm","answer_corrected","answer_relation","answer_metric","category","time_variant","kg_instances","kg_has_qualifier","instances_req","qualifier_req","answer_enum"
3,"how many john wick movies are there",4,4,,"=",,"entertainment","yes",4,,1,0,"[John Wick, John Wick: Chapter 2, John Wick: Chapter 3 – Parabellum, John Wick: Chapter 4]"
4,"how many kids does cam newton have",4,4,,"=",,"social","yes",0,,1,0,"[Chosen Newton, Cashmere Newton, Camidas Newton, Caesar Newton, Sovereign-Dior Newton]"
6,"how many aot books are there",24,24,34,"=",,"books","no",7,,1,0,"[Attack on Titan]"
9,"how many jack reacher movies",2,2,,"=",,"entertainment","no",2,,1,0,"[Jack Reacher, Jack Reacher : Never Go Back]"
11,"how many jrr tolkien books are there","At least 34",34,48,">",,"books","no",5,,1,1,"[The Hobbit, the Fellowship of the Ring, The two Towers, The Return of the King, A Middle English Vocabulary] "
13,"how many kids does elon musk have",7,7,,"=",,"social","yes",0,,1,0,"[Nevada Musk, Xavier Musk, Griffin Musk, Kai Musk, Saxon Musk, Damian Musk, X AE A-XII Musk]"
16,"how many mythica movies are there",4,4,5,"=",,"entertainment","no",4,,1,0,"[Mythica: A quest for Heroes, Mythica: The Darkspore, Mythica: The Necromancer, Mythica: The Iron Crown, Mythica: The Godslayer]"
18,"how many times was kenny rogers married",5,5,,"=",,"social","no",1,,1,0,"[Janice Gordon, Jean, Margo Anderson, Marianne Gordon, Wanda Miller]"
20,"how many wives did solomon have",2,2,700,"=",,"social","no",2,,1,0,"[Naamah, Pharaoh’s daughter]"
22,"how many zombieland movies are there",2,2,,"=",,"entertainment","no",2,,1,0,"[Zombieland, Zombieland: Double Tap]"
25,"how many aot movies are there",5,5,14,"=",,"entertainment","yes",5,,1,0,"[Attack on Titan: Crimson Bow and Arrow, Attack on Titan: The Wings of Freedom, Attack on Titan: The Roar of Awakening, Attack on Titan: Chronicle]"
31,"how many beverly hills cop movies were made",4,4,,"=",,"entertainment","no",4,,1,0,"[Beverly Hills Cop, Beverly Hills Cop II, Beverly Hills Cop III]"
