qid,query,prediction,cardinals,tf_answer,relaxed_precision,equivalent_ids,subgroups_ids,unrelated_ids
5,how many aiims in india,12,"[(13.0, 0.82), (9.0, 0.63), (12.0, 0.77)]","[('1', 0.82, '13 AIIMS colleges', 13.0), ('7', 0.63, '9', 9.0), ('12', 0.77, '12 new All India Institute', 12.0)]",1,"[12,1,7]",,
149,how many ak47 have been made,100000000,"[(100000000.0, 0.93), (100000000.0, 0.96), (75000000.0, 0.61)]","[('3', 0.93, 'some 100 million AKs', 100000000.0), ('15', 0.96, 'estimated 100 million AK-47s', 100000000.0), ('25', 0.61, '75 million examples', 75000000.0)]",1,"[15,3,25]",,
208,how many anheuser busch breweries are there,12,"[(12.0, 0.98), (25.0, 0.94)]","[('1', 0.98, '12 breweries', 12.0), ('11', 0.94, '25 brands', 25.0)]",1,[1],,[11]
4837,how many ann taylor stores in canada,2800,"[(2800.0, 0.66), (547.0, 0.55)]","[('26', 0.66, '2,800', 2800.0), ('27', 0.55, '547 stores', 547.0)]",1,[26],[27],
225,how many aoa sensors on airbus,3,"[(3.0, 0.95), (3.0, 0.98), (3.0, 0.63), (2.0, 0.82), (3.0, 0.58), (3.0, 0.67), (3.0, 0.87), (2.0, 0.97)]","[('0', 0.95, '3 x AOA-sensors', 3.0), ('2', 0.39, 'three AOA sensors', 3.0), ('3', 0.98, 'three sensors', 3.0), ('9', 0.63, 'three AoA sensors', 3.0), ('21', 0.82, 'two', 2.0), ('22', 0.58, '3', 3.0), ('26', 0.67, 'three AoA sensors', 3.0), ('28', 0.87, 'three', 3.0), ('34', 0.97, 'two AoA sensors', 2.0)]",1,"[3,0,28,26,9,21,34]",,[22]
5397,how many arrows for vah ruta,20,"[(20.0, 0.93), (20.0, 0.9), (10.0, 0.92), (20.0, 0.96), (20.0, 0.89), (30.0, 0.99), (20.0, 0.74)]","[('1', 0.93, 'twenty Shock Arrows', 20.0), ('3', 0.9, '20 shock arrows', 20.0), ('5', 0.92, '10 fire arrows', 10.0), ('15', 0.96, '20 shock arrows', 20.0), ('22', 0.89, '20 shock arrows', 20.0), ('27', 0.99, '30 regular Arrows', 30.0), ('33', 0.74, '20 Shock Arrows', 20.0)]",1,"[15,1,3,5,22,27,33]",,
2273,how many barangays in imus cavite,97,"[(829.0, 0.96), (97.0, 0.75), (13.0, 0.99), (97.0, 0.99)]","[('4', 0.96, '829 barangays', 829.0), ('14', 0.75, '97 barangays', 97.0), ('16', 0.99, '13 barangays', 13.0), ('19', 0.99, '97 barangays', 97.0)]",1,"[19,14]",[16],[4]
5366,how many branches of utkarsh bank in india,490,"[(490.0, 0.94)]","[('27', 0.94, 'about 490 branches', 490.0)]",1,,,
602,how many buzzer beaters does jordan have,9,"[(9.0, 0.92), (8.0, 0.5), (100.0, 0.51), (8.0, 0.76), (28.0, 0.75)]","[('15', 0.92, '9 Career Buzzer Beaters', 9.0), ('22', 0.5, '8 buzzer beaters', 8.0), ('23', 0.51, '100 buzzer-beaters', 100.0), ('32', 0.76, '8 buzzer-beaters', 8.0), ('36', 0.75, '28 or 29 game winners', 28.0)]",1,"[15,22,32]",,"[23,36]"
682,how many cctv cameras in london,627707,"[(691000.0, 0.99), (627707.0, 0.67), (627727.0, 0.98), (500000.0, 0.99), (627727.0, 0.97), (627707.0, 0.99), (33443.0, 0.72), (619.0, 0.99), (691000.0, 0.97), (8000.0, 0.99), (15516.0, 0.99), (420000.0, 0.79)]","[('0', 0.99, '691,000', 691000.0), ('3', 0.67, 'approximately 627,707', 627707.0), ('10', 0.98, '627,727', 627727.0), ('11', 0.99, '500,000', 500000.0), ('18', 0.97, '627,727', 627727.0), ('19', 0.99, '627,707', 627707.0), ('20', 0.72, '33,443', 33443.0), ('23', 0.99, '619 cameras', 619.0), ('31', 0.97, 'Approximately 691,000', 691000.0), ('38', 0.99, '8,000', 8000.0), ('41', 0.99, '15,516', 15516.0), ('47', 0.79, '420,000', 420000.0)]",1,"[19,3,31,0,10,11,18,47]","[20,23,38,41]",
756,how many circuit courts are there in the us,12,"[(13.0, 0.99), (13.0, 0.72), (2.0, 0.67), (13.0, 0.95), (12.0, 0.78), (8.0, 0.87), (12.0, 0.87), (12.0, 0.99)]","[('0', 0.99, '13 circuits', 13.0), ('2', 0.72, '13 judicial circuits', 13.0), ('6', 0.67, 'twice yearly', 2.0), ('7', 0.95, '13 circuit courts', 13.0), ('16', 0.78, '12 regional circuit courts', 12.0), ('18', 0.87, '8 judicial circuits', 8.0), ('21', 0.87, '12 regional circuits', 12.0), ('28', 0.99, '12 circuits', 12.0)]",1,"[28,21,16,0,2,7,18]",,[6]
767,how many counties in texas,254,"[(254.0, 0.99), (254.0, 0.99), (3007.0, 0.97), (254.0, 0.95), (254.0, 0.99), (17.0, 0.58), (254.0, 0.99), (254.0, 0.99)]","[('0', 0.99, '254 counties', 254.0), ('3', 0.99, '254 counties', 254.0), ('11', 0.97, '3,007', 3007.0), ('12', 0.95, '254 Texas counties', 254.0), ('26', 0.99, '254 counties', 254.0), ('31', 0.58, '17 April 2015', 17.0), ('40', 0.99, '254 counties', 254.0), ('42', 0.99, '254 counties', 254.0)]",1,"[0,3,12,26,40,42]",,"[31,11]"
896,how many csu campuses are there in california,23,"[(23.0, 0.99), (23.0, 0.99), (23.0, 0.95), (23.0, 0.98), (23.0, 0.93), (23.0, 0.99), (3.0, 0.64)]","[('1', 0.99, '23 campuses', 23.0), ('2', 0.99, '23 campuses', 23.0), ('7', 0.95, '23 CSU campuses', 23.0), ('8', 0.98, '23-campus system', 23.0), ('9', 0.93, '23 college campuses', 23.0), ('12', 0.99, '23 campuses', 23.0), ('13', 0.64, 'three miles', 3.0)]",1,"[1,2,7,8,9,12]",,[13]
958,how many dams are in china,23841,"[(22104.0, 0.99), (23841.0, 0.93), (22500.0, 0.73), (26000.0, 0.98)]","[('0', 0.99, '22,104', 22104.0), ('2', 0.93, '23,841', 23841.0), ('4', 0.73, '22,500', 22500.0), ('38', 0.98, '26,000', 26000.0)]",1,"[2,0,38]",,[4]
1000,how many deserts are in the us,4,"[(4.0, 0.73), (4.0, 0.56)]","[('1', 0.73, 'four major deserts', 4.0), ('19', 0.56, '4 deserts', 4.0)]",1,"[1,19]",,
1025,how many died from spanish flu,675000,"[(21600000.0, 0.53), (20000000.0, 0.78), (195000.0, 0.99), (50000000.0, 0.98), (675000.0, 0.93), (53402.0, 0.89), (675000.0, 0.85)]","[('0', 0.53, '21.6 million', 21600000.0), ('7', 0.78, 'estimated 20 million', 20000000.0), ('17', 0.99, '195,000', 195000.0), ('18', 0.98, 'some 50 million people', 50000000.0), ('27', 0.93, 'estimated 675,000', 675000.0), ('30', 0.89, '53,402', 53402.0), ('34', 0.85, '675,000', 675000.0), ('43', 0.49, '50 million deaths', 50000000.0)]",1,"[27,34]",[17],"[0,7,18,30]"
1113,how many drdo centre are there in india,45,"[(45.0, 0.75)]","[('11', 0.75, '45+', 45.0)]",1,,,
3940,how many episodes of dublin murders,8,"[(8.0, 0.93), (8.0, 0.62), (8.0, 0.99), (8.0, 0.98), (8.0, 0.99), (108.0, 0.83), (8.0, 0.99), (2.0, 0.87), (8.0, 0.89), (8.0, 0.93), (4.0, 0.93)]","[('2', 0.93, 'eight episodes', 8.0), ('7', 0.62, '8 episode crime drama series', 8.0), ('11', 0.99, 'eight episodes', 8.0), ('13', 0.98, 'eight-part mystery series', 8.0), ('14', 0.99, 'eight episodes', 8.0), ('18', 0.83, '108', 108.0), ('19', 0.99, 'eight episodes', 8.0), ('28', 0.87, 'two airs', 2.0), ('30', 0.89, '8 Episodes', 8.0), ('32', 0.93, 'eight episodes', 8.0), ('38', 0.93, 'four aired', 4.0)]",1,"[11,2,7,13,14,19,30,32,38]",,"[18,28]"
5921,how many episodes of yu yu hakusho,112,"[(112.0, 0.99), (114.0, 0.99), (114.0, 0.99), (15.0, 0.77), (114.0, 0.99), (40.0, 0.96), (25.0, 0.97), (112.0, 0.85), (112.0, 0.99)]","[('5', 0.99, '112 episodes', 112.0), ('6', 0.41, '102. 112', 214.0), ('7', 0.99, '114 episodes', 114.0), ('8', 0.99, '114 episodes', 114.0), ('13', 0.77, '15 Action & Adventure', 15.0), ('17', 0.99, '114 episodes', 114.0), ('25', 0.96, 'forty episodes', 40.0), ('27', 0.97, 'twenty-five episodes', 25.0), ('29', 0.85, '112', 112.0), ('30', 0.99, '112 episodes', 112.0)]",1,"[5,29,30,7,8,17]","[13,25,27]",
1404,how many ethnic groups in china,56,"[(55.0, 0.97), (56.0, 0.91), (56.0, 0.99), (56.0, 0.99), (55.0, 0.99), (55.0, 0.99), (56.0, 0.98), (56.0, 0.99), (56.0, 0.99), (56.0, 0.51), (56.0, 0.99), (25.0, 0.99), (56.0, 0.99), (55.0, 0.99), (56.0, 0.89)]","[('0', 0.97, '55 other ethnic', 55.0), ('1', 0.91, '56 official ethnic groups', 56.0), ('2', 0.99, '56 ethnic groups', 56.0), ('4', 0.99, '56 ethnic groups', 56.0), ('5', 0.99, '55 ethnic groups', 55.0), ('6', 0.99, '55 ethnic minority groups', 55.0), ('10', 0.32, '6 ethnic groups', 6.0), ('14', 0.98, '56 ethnic groups', 56.0), ('15', 0.99, '56 recognized ethnic groups', 56.0), ('16', 0.99, '56 ethnic groups', 56.0), ('19', 0.51, '56 officially', 56.0), ('21', 0.99, '56 ethnic groups', 56.0), ('24', 0.99, '25 ethnic groups', 25.0), ('30', 0.99, '56 ethnic groups', 56.0), ('31', 0.99, '55 ethnic groups', 55.0), ('47', 0.89, '56 officially recognised ethnicities', 56.0)]",1,"[2,0,1,4,5,6,14,15,16,19,21,30,31,47]",[24],
1560,how many fijian islands are there,330,"[(333.0, 0.98), (322.0, 0.99), (332.0, 0.98), (330.0, 0.99)]","[('1', 0.98, '333 gorgeous island jewels', 333.0), ('4', 0.99, '322 islands', 322.0), ('11', 0.98, '332 islands', 332.0), ('19', 0.99, '330+ islands', 330.0)]",1,"[19,1,4,11]",,
3871,how many floats nyx,44,"[(44.0, 0.98), (44.0, 0.61), (44.0, 0.9), (44.0, 0.86)]","[('0', 0.98, '44 floats', 44.0), ('5', 0.61, '44 floats', 44.0), ('6', 0.9, '44 floats', 44.0), ('9', 0.86, '44 float parade', 44.0)]",1,"[0,5,6,9]",,
1648,how many fusion centers are in the united states,72,"[(72.0, 0.96), (72.0, 0.94)]","[('15', 0.96, '72 fusion centers', 72.0), ('16', 0.94, '72 Fusion Centers', 72.0)]",1,"[15,16]",,
