"qid","query","answer_norm","answer_enum"
3,"how many john wick movies are there",4,"[John Wick, John Wick: Chapter 2, John Wick: Chapter 3 – Parabellum, John Wick: Chapter 4]"
4,"how many kids does cam newton have",4,"[Chosen Newton, Cashmere Newton, Camidas Newton, Caesar Newton, Sovereign-Dior Newton]"
6,"how many aot books are there",24,"[Attack on Titan]"
9,"how many jack reacher movies",2,"[Jack Reacher, Jack Reacher : Never Go Back]"
11,"how many jrr tolkien books are there",34,"[The Hobbit, the Fellowship of the Ring, The two Towers, The Return of the King, A Middle English Vocabulary] "
13,"how many kids does elon musk have",7,"[Nevada Musk, Xavier Musk, Griffin Musk, Kai Musk, Saxon Musk, Damian Musk, X AE A-XII Musk]"
16,"how many mythica movies are there",4,"[Mythica: A quest for Heroes, Mythica: The Darkspore, Mythica: The Necromancer, Mythica: The Iron Crown, Mythica: The Godslayer]"
18,"how many times was kenny rogers married",5,"[Janice Gordon, Jean, Margo Anderson, Marianne Gordon, Wanda Miller]"
20,"how many wives did solomon have",2,"[Naamah, Pharaoh’s daughter]"
22,"how many zombieland movies are there",2,"[Zombieland, Zombieland: Double Tap]"
25,"how many aot movies are there",5,"[Attack on Titan: Crimson Bow and Arrow, Attack on Titan: The Wings of Freedom, Attack on Titan: The Roar of Awakening, Attack on Titan: Chronicle]"
31,"how many beverly hills cop movies were made",4,"[Beverly Hills Cop, Beverly Hills Cop II, Beverly Hills Cop III]"
32,"how many bruce lee movies are there",18,"[Enter the Dragon, Game of Death, Circle of Iron, Golden Gate Girl, Fist of Fury]"
36,"how many siblings does chris cuomo have",4,"[Margaret Cuomo, Andrew Cuomo, Maria Cuomo, Madeline Cuomo]"
37,"how many siblings does steven adams have",4,"[Valarie Adams, Lisa Adams, Warrren Adams, Sid Adams Jr.]"
41,"how many husbands did joe exotic have",2,"[Travis Maldonado, Dilon Passage]"
44,"how many husbands did princess margaret have",1,"[Antony Armstrong-Jones]"
45,"how many indiana jones movies are there",5,"[Raiders of the lost ark, The Temple of Doom, The Last crusade, The Kingdom of the crystal skull]"
48,"how many irrfan khan movies",78,"[Angrezi Medium, Blackmail, Hindi Medium, Talvar, Piku]"
49,"how many films irrfan khan acted",78,"[Angrezi Medium, Blackmail, Hindi Medium, Talvar, Piku]"
53,"how many james bond movies were made",26,"[GoldenEye (1995), Tomorrow Never Dies (1997), The World Is Not Enough (1999), Die Another Day (2002), Casino Royale (2006)]"
54,"how many jane austen novels are there",10,"[Sense and Sensibility, Pride and Prejudice, Mansfield Park, Emma, Northanger Abbey, Persuasion, Lady Susan]"
56,"how many jane austen movies are there",24,"[Sense and Sensibility, Pride and Prejudice, Mansfield Park, Emma, Northanger Abbey, Persuasion, Lady Susan]"
57,"how many ntr movies",39,"[Aravindha Sametha, Jai Lava Kusa, Janatha Garage, Nannaku Prematho, Temper]"
59,"how many pacific rim movies are there",2,"[Pacific Rim, Pacific Rim: Uprising]"
61,"how many cheech and chong movies are there",61,"[Up in smoke, Cheech and Chong’s Next Movie, Nice Dreams, Things are Tough All Over, Still Smokin]"
63,"how many eddie murphy movies are there",50,"[The Haunted Mansion, Dr. Dolittle, Norbit, Shrek, Dreamgirls]"
66,"how many wives did king solomon have",2,"[Naamah, Pharaoh’s daughter]"
