qid,query,prediction,cardinals,tf_answer,relaxed_precision,equivalent_ids,subgroups_ids,unrelated_ids
9622,how many koch brothers,4,"[(4.0, 0.91), (4.0, 0.98), (4.0, 0.98), (4.0, 0.98)]","[('0', 0.91, 'four sons', 4.0), ('19', 0.98, 'four Koch brothers', 4.0), ('27', 0.98, 'four sons', 4.0), ('31', 0.98, 'four sons', 4.0)]",1,"[19,27,31,0]",,
10189,how many nolan ryan rookie cards exist,132,"[(132.0, 0.98), (132.0, 0.98), (132.0, 0.86), (27.0, 0.98)]","[('12', 0.98, '132 cards', 132.0), ('14', 0.98, '132 cards', 132.0), ('24', 0.86, '132 cards', 132.0), ('39', 0.98, '27 cards', 27.0)]",1,"[12,14,24]",[39],
7598,how many times was breonna taylor shot,6,"[(8.0, 0.96), (6.0, 0.76), (8.0, 0.96), (6.0, 0.76), (2.0, 0.61)]","[('14', 0.96, 'eight times', 8.0), ('17', 0.76, 'six times', 6.0), ('18', 0.38, 'two officers', 2.0), ('19', 0.96, 'eight times', 8.0), ('22', 0.33, 'five', 5.0), ('23', 0.76, 'six times', 6.0), ('25', 0.61, '2.0', 2.0), ('28', 0.38, 'two officers', 2.0)]",1,"[14,17,19,23]",,[25]
8653,how many presidents named william,4,"[(4.0, 0.97), (5.0, 0.95), (4.0, 0.93), (6.0, 0.92), (4.0, 0.82), (4.0, 0.67), (6.0, 0.6), (4.0, 0.94)]","[('0', 0.97, 'Four', 4.0), ('1', 0.95, '5', 5.0), ('2', 0.93, 'four-year term', 4.0), ('4', 0.92, 'Six U.S. presidents', 6.0), ('11', 0.82, '4 presidents', 4.0), ('17', 0.18, '4', 4.0), ('23', 0.67, '4 Williams', 4.0), ('27', 0.39, 'Four presidents', 4.0), ('29', 0.6, 'six', 6.0), ('30', 0.42, 'Four different Black & Tan Coonhounds', 4.0), ('34', 0.94, '4 presidents', 4.0)]",1,"[0,34,11,23]",,"[1,2,4,29]"
8804,how many ophthalmology practices are there in the us,18500,"[(18500.0, 0.94), (23861.0, 0.73), (7000.0, 0.96)]","[('10', 0.94, 'about 18,500', 18500.0), ('11', 0.73, 'approximately 23,861', 23861.0), ('32', 0.96, 'about 7,000', 7000.0)]",1,"[10,11]",[32],
9832,how many main islands in hawaii,8,"[(8.0, 0.95), (8.0, 0.5), (8.0, 0.97), (6.0, 0.98), (8.0, 0.95), (8.0, 0.5), (8.0, 0.53), (6.0, 0.99), (6.0, 0.98), (6.0, 0.98), (6.0, 0.99), (6.0, 0.99), (8.0, 0.95), (8.0, 0.98), (8.0, 0.94), (8.0, 0.95), (8.0, 0.98)]","[('0', 0.95, 'eight major islands', 8.0), ('5', 0.5, 'eight islands', 8.0), ('10', 0.97, '8 Islands', 8.0), ('12', 0.98, 'six main islands', 6.0), ('13', 0.95, 'eight major islands', 8.0), ('15', 0.5, 'eight islands', 8.0), ('17', 0.53, '8 largest', 8.0), ('21', 0.99, 'six main islands', 6.0), ('22', 0.98, 'six main islands', 6.0), ('24', 0.98, 'six main islands', 6.0), ('30', 0.99, 'six main islands', 6.0), ('31', 0.99, 'six main islands', 6.0), ('33', 0.95, 'eight major islands', 8.0), ('35', 0.98, 'eight main islands', 8.0), ('37', 0.94, 'Eight main islands', 8.0), ('40', 0.95, 'eight major islands', 8.0), ('43', 0.98, 'eight main islands', 8.0)]",1,"[35,43,10,0,13,33,40,37,17,5,15,12,21,22,24,30,31]",,
7481,how many mayors in new york,109,"[(109.0, 0.81)]","[('28', 0.81, '109 mayors', 109.0)]",1,,,
7650,how many jeep yj were made,557412,"[(557412.0, 0.93)]","[('7', 0.93, '557,412', 557412.0)]",1,,,
7903,how many big bazaar stores in india,250,"[(300.0, 0.65), (250.0, 0.98), (214.0, 0.93), (75.0, 0.94), (53.0, 0.56), (350.0, 0.96)]","[('1', 0.65, 'about 300+ stores', 300.0), ('5', 0.98, '250+ stores', 250.0), ('28', 0.93, '214 stores', 214.0), ('31', 0.94, '75 outlets', 75.0), ('34', 0.56, '53 standalone outlets', 53.0), ('45', 0.96, '350 stores', 350.0)]",1,"[5,1,28,45]","[31,34]",
9311,how many students in gwinnett county schools,180589,"[(188713.0, 0.95), (70243.0, 0.92), (180589.0, 0.98), (180000.0, 0.97)]","[('2', 0.95, '188,713', 188713.0), ('10', 0.92, '70,243', 70243.0), ('21', 0.98, '180,589', 180589.0), ('33', 0.97, 'about 180,000', 180000.0)]",1,"[21,2,33]",[10],
9349,how many hibbett sports stores are there,1025,"[(1000.0, 0.96), (1025.0, 0.92), (1025.0, 0.98), (1082.0, 0.98), (1067.0, 0.98), (1000.0, 0.95), (1067.0, 0.96)]","[('2', 0.96, '1000+ stores', 1000.0), ('5', 0.92, '1,025', 1025.0), ('9', 0.98, '1,025', 1025.0), ('11', 0.98, '1,082', 1082.0), ('16', 0.98, 'approximately 1,067', 1067.0), ('24', 0.95, '1,000', 1000.0), ('32', 0.96, 'approximately 1,067', 1067.0)]",1,"[32,2,5,9,11,16,24]",,
9943,how many seats mns won,1,"[(1.0, 0.98), (1.0, 0.55), (1.0, 0.62), (1.0, 0.84), (1.0, 0.96), (1.0, 0.98), (1.0, 0.99), (1.0, 0.99), (1.0, 0.99), (2.0, 0.93)]","[('0', 0.98, '1 seat', 1.0), ('1', 0.55, 'one.', 1.0), ('2', 0.62, 'one seat —', 1.0), ('4', 0.84, 'one seat', 1.0), ('11', 0.96, 'one seat', 1.0), ('17', 0.98, 'one seat', 1.0), ('25', 0.99, '1 seat', 1.0), ('26', 0.99, 'one seat', 1.0), ('27', 0.99, '1 seat', 1.0), ('34', 0.49, '1 of 12', 12.0), ('40', 0.93, '1 of 2', 2.0)]",1,"[25,26,27,0,17,11,4,2,1,40]",,
10274,how many population in texas,28000000,"[(28000000.0, 0.94), (29000000.0, 0.97), (2840939.0, 0.56), (26500000.0, 0.96)]","[('5', 0.94, 'almost 28 million', 28000000.0), ('10', 0.97, 'about 29 million people', 29000000.0), ('19', 0.56, '2,840,939', 2840939.0), ('39', 0.96, 'approximately 26.5 million', 26500000.0)]",1,"[5,10,39]",[19],
10810,how many uk citizens are there,65599999,"[(66800000.0, 0.97), (65599999.99999999, 0.95), (3500000.0, 0.54)]","[('0', 0.97, 'estimated 66.8 million', 66800000.0), ('1', 0.95, '65.6 million', 65599999.99999999), ('7', 0.54, 'around 3.5 million EU citizens', 3500000.0)]",1,"[1,0]",[7],
11298,how many ikea's are in the us,52,"[(52.0, 0.95), (50.0, 0.66), (52.0, 0.52), (52.0, 0.93), (50.0, 0.67), (52.0, 0.78), (40.0, 0.95), (52.0, 0.95), (422.0, 0.63), (50.0, 0.87), (52.0, 0.78), (2018.0, 0.63), (464.0, 0.84), (2018.0, 0.58), (50.0, 0.89), (445.0, 0.68)]","[('0', 0.95, '52 IKEA locations', 52.0), ('1', 0.66, '50 IKEA locations', 50.0), ('2', 0.52, '52 IKEA locations', 52.0), ('3', 0.93, '52 IKEA locations', 52.0), ('4', 0.67, '50 IKEA locations', 50.0), ('5', 0.78, '52 IKEA locations', 52.0), ('6', 0.95, 'roughly 40 stores', 40.0), ('7', 0.95, '52 IKEA locations', 52.0), ('9', 0.63, '422 stores', 422.0), ('11', 0.87, '50 IKEA locations', 50.0), ('20', 0.78, '52 IKEA locations', 52.0), ('22', 0.63, '2018', 2018.0), ('25', 0.84, '464 IKEA stores', 464.0), ('30', 0.58, '2018', 2018.0), ('34', 0.89, '50 IKEA locations', 50.0), ('38', 0.68, '445 Ikea stores', 445.0)]",1,"[0,7,3,5,20,2,1,4,6,11,34]",,"[9,22,25,30,38]"
10593,how many snc employees in canada,37584,"[(23923.0, 0.66), (8762.0, 0.69), (9000.0, 0.88), (37584.0, 0.97), (40000.0, 0.99), (37584.0, 0.98), (2000000.0, 0.93), (9000.0, 0.98)]","[('1', 0.66, '23,923', 23923.0), ('2', 0.69, '8,762', 8762.0), ('3', 0.88, 'roughly 9,000', 9000.0), ('4', 0.97, '37,584', 37584.0), ('16', 0.99, '40,000', 40000.0), ('19', 0.98, '37,584', 37584.0), ('23', 0.93, '2 million people', 2000000.0), ('43', 0.98, '9,000', 9000.0)]",1,"[4,16,19,43]","[1,2,3]",[23]
8291,how many dnb seats in india,9795,"[(9795.0, 0.65)]","[('1', 0.36, '9405 DNB/DrNB SEATS', 9405.0), ('19', 0.65, '9795 DNB/FNB seats', 9795.0)]",1,,,
8384,how many icc trophies does india have,5,"[(5.0, 0.74), (5.0, 0.51), (5.0, 0.62), (4.0, 0.81), (4.0, 0.56)]","[('1', 0.74, 'five major ICC tournaments', 5.0), ('17', 0.51, 'five major ICC tournaments.', 5.0), ('22', 0.62, 'five major ICC tournaments', 5.0), ('23', 0.81, 'four years', 4.0), ('37', 0.56, 'four years', 4.0)]",1,"[1,17,22]",,"[23,37]"
7605,how many uighurs are there in china,11300000,"[(11000000.0, 0.89), (11000000.0, 0.98), (11300000.0, 0.96), (12000000.0, 0.98)]","[('12', 0.89, 'About eleven million Uyghurs', 11000000.0), ('15', 0.98, 'about 11 million', 11000000.0), ('19', 0.96, 'approximately 11.3 million Uyghurs', 11300000.0), ('22', 0.98, 'About 12 million Uighurs', 12000000.0)]",1,"[19,12,15,22]",,
9745,how many live in new york,8300000,"[(8300000.000000001, 0.93)]","[('3', 0.93, '8.3 million people', 8300000.000000001)]",1,,,
8729,how many companies on nzx,188,"[(188.0, 0.99)]","[('16', 0.99, '188 companies', 188.0)]",1,,,
