qid,query,answer_relation,answer_norm,answer_metric,answer_type,query_entity,relation,context
4727,how many kfc are there in india,=,350.0,,kfc,"('india',)",,"('there',)"
921,how many cvs in the us,=,9800.0,,cv,"('us',)",,()
168,how many alaska state troopers are there,=,300.0,,state trooper,"('alaska',)",,"('there',)"
3121,how many lga does the navy have,=,7.0,,lga,"('navy',)",,()
3377,how many terminals at manila,=,4.0,,terminal,"('manila',)",,()
4370,how many qfc stores in washington state,=,62.0,,store,"('washington', 'qfc')",,"('state',)"
2451,how many jane the virgin episodes,=,100.0,,,"('jane', 'virgin')",,"('episodes',)"
6059,how many customers does zuora have,=,950.0,,customer,"('zuora',)",,()
5083,how many acres is tpc sawgrass,=,415.0,,acre,"('sawgrass',)",,"('tpc',)"
4095,how many oyo hotels in india,=,10000.0,,hotel,"('india',)",oyo,()
125,how many types of ahu are there,=,2.0,,type,(),,"('there', 'ahu')"
3023,how many lander in germany,=,2.0,,lander,"('germany',)",,()
579,how many bsl 4 labs in the us,=,13.0,,bsl,"('us',)",,"('4', 'labs')"
5324,how many urgent care centers in the us 2019,=,9616.0,,care center,"('us',)",,"('urgent', '2019')"
673,how many ccd outlets in world,=,1752.0,,ccd outlet,(),,"('world',)"
2985,how many branches of kuya j restaurant,=,100.0,,branch,"('kuya', 'kuya j')",,"('restaurant',)"
1491,how many fbs football teams,=,130.0,,fbs football team,(),,()
4102,how many pakistani in uk,=,1170000.0,,pakistani,"('uk',)",,()
4659,how many ryvita is a healthy extra b,=,4.0,,ryvitum,(),,"('extra', 'healthy', 'b')"
583,how many bsnl towers in india,=,54000.0,,bsnl tower,"('india',)",,()
2059,how many cfm for hvlp paint gun,=,17.0,,cfm,"('hvlp',)",,"('gun', 'paint')"
5198,how many freshman at uci,=,72391.0,,freshman,"('uci',)",,()
2056,how many users does hulu have,=,30400000.0,,user,(),,"('hulu',)"
2691,how many jutsu does sasuke have,=,50.0,,,"('jutsu',)",,"('sasuke',)"
568,how many brothers did goliath have,=,3.0,,brother,"('goliath',)",,()
2505,how many jehovah witnesses in the united states,=,8400000.0,,witness,"('united', 'the united states')",jehovah,()
2465,how many jbl speakers can be connected,=,100.0,,jbl speaker,(),connected,()
3762,how many branch of nrb global bank,=,69.0,,branch,"('nrb', 'nrb global bank')",,()
777,how many neutrons does cl have,=,18.0,,neutron,(),cl,()
1547,how many theaters does amc have,=,1000.0,,theater,(),amc,()
2002,how many horsepower is 212cc,=,6.5,,horsepower,(),212cc,()
2988,how many kuzhi is 1 acre,=,1.0,,kuzhi,(),,"('1', 'acre')"
855,how many slices cpk pizza,=,6.0,,slice,"('cpk',)",,"('pizza',)"
1516,how many female navy seals are there,=,5.0,,navy seal,(),,"('there', 'female')"
4062,how many osi layers are there,=,7.0,,osi layer,(),,"('there',)"
1932,how many high schools in massachusetts,=,641.0,,high school,"('massachusetts',)",,()
656,how many cbse schools in india,=,20299.0,,cbse school,"('india',)",,()
1268,how many egyptian gods were there,=,2000.0,,egyptian god,(),,"('there',)"
3693,how many nk cells in mouse spleen,=,2.0,,nk cell,(),,"('spleen', 'mouse')"
722,how many cfb bowl games,=,40.0,,bowl game,"('cfb',)",,()
5736,how many cycles of xeloda,=,8.0,,cycle,(),,"('xeloda',)"
2559,how many jio subscribers in india,=,387500000.0,,subscriber,"('jio', 'india')",,()
2984,how many kuwaitis are there in kuwait,=,3200000.0,,kuwaiti,"('kuwait',)",,"('there',)"
469,how many employees does bhf have,=,3000.0,,employee,(),bhf,()
4372,how many moves in qigong,=,8.0,,move,"('qigong',)",,()
4765,how many sikhs in india,=,20800000.0,,sikh,"('india',)",,()
345,how many australians died in vietnam,=,521.0,,,"('vietnam', 'australians')",died,()
5490,how many vowels are in the spanish alphabet,=,5.0,,vowel,"('spanish',)",,"('alphabet',)"
5764,how many district in xieng khouang,=,8.0,,district,"('xieng khouang', 'xieng')",,()
4670,how many sahaba participated in battle of badr,=,313.0,,sahaba,"('badr',)",participated,"('battle',)"
2172,how many iga stores are there in australia,=,1600.0,,store,"('iga', 'australia')",,"('there',)"
2182,how many antigens can igg bind,=,2.0,,antigen,"('igg',)",can,"('bind',)"
3160,how many lahore in india,=,2.0,,lahore,"('india',)",,()
3187,how many presidents named james,=,6.0,,president,"('james',)",named,()
122,how many ahle hadees in india,=,1000.0,,hadee,"('india',)",ahle,()
2604,how many district in j&k,=,22.0,,district,"('j&k',)",,()
3120,how many lhds in nsw,=,8.0,,lhd,"('nsw',)",,()
4536,how many rlcs has turbo won,=,4.0,,turbo,"('rlcs',)",won,()
1771,how many gop senators are up for reelection,=,45.0,,senator,"('gop',)",,"('reelection', 'up')"
1663,how many gagosian galleries are there,=,16.0,,gagosian gallery,(),,"('there',)"
3747,how many npr member stations,=,1000.0,,npr member station,(),,()
3368,how many metro trains in hyderabad,=,48.0,,metro train,"('hyderabad',)",,()
6065,how many zygotes fail to implant,=,1.5,,zygote,(),fail,"('implant', 'to')"
357,how many aws employees,=,25000.0,,aws employee,(),,()
288,how many asian elephants are left,=,20000.0,,asian elephant,(),left,()
3696,how many nldb farms in sri lanka,=,29.0,,nldb farm,"('sri', 'sri lanka')",,()
3767,how many nri outside india,=,28000000.0,,nri,"('india',)",,()
3258,how many customers does mbna have,=,7000000.0,,customer,(),,"('mbna',)"
3447,how many msq quests ffxiv,=,106.0,,quest,"('ffxiv', 'msq')",,()
1018,how many dholes are left in india,=,2500.0,,dhole,"('india',)",left,()
5743,how many jaguar xfr-s were made,=,200.0,,,"('jaguar xfr', 's', 'jaguar xfr-s')",made,()
512,how many doctors are bma members,=,159000.0,,doctor,"('bma',)",,"('members',)"
5558,how many wazir are there in pakistan,=,25.0,,wazir,"('pakistan',)",,"('there',)"
4014,how many onsens in japan,=,2300.0,,onsen,"('japan',)",,()
3391,how many moons does pluto have,=,5.0,,moon,(),pluto,()
4655,how many ryder cup wins for europe,=,11.0,,cup,"('ryder', 'europe')",wins,()
4737,how many sgr trains are in kenya,=,30.0,,sgr train,"('kenya',)",,()
