qid,query,answer_norm,category,time_variant,snippet_has_instances,snippet_has_qualifier,instances_req,all_instances_req,has_complete_GT,qualifier_req
756,how many circuit courts are there in the us,12,administration,0,0,1,1,1,1,1
6030,how many zones are in eritrea,6,administration,0.25,0,1,1,1,1,1
4035,how many opm ovas are there,6,entertainment,1,0,1,1,1,1,1
1000,how many deserts are in the us,4,geography,0,4,1,1,1,1,1
6037,how many zones was germany divided into,4,history,0,4,1,1,1,1,1
3616,how many methods of ndt are there,6,industry,0,6,1,1,1,1,1
4667,how many sacraments are there in the catholic church,7,literature,0,0,1,1,1,1,1
5096,how many territories does canada have,3,administration,0,0,0,1,1,1,0
5922,how many sons did yuyutsu have,101,culture,0,1,0,1,1,1,1
3273,how many mcu movies was robert downey jr in,2008,entertainment,0.25,1,0,1,1,1,1
4003,how many eminem albums went diamond,2,entertainment,0.75,1,1,1,1,1,0
2275,how many inactive volcanoes are in hawaii,2,geography,0,1,1,1,1,1,1
249,how many aqueducts did rome have,11,history,0,0,0,1,1,1,0
5090,how many tribes of israel,12,history,0,0,0,1,1,1,0
1573,how many fleets in the us navy,7,infrastructure,0.25,0,1,1,1,1,0
4938,how many terminals at sxf,5,infrastructure,0,0,0,1,1,1,0
1209,how many ghosts visit ebenezer scrooge,4,literature,0,1,0,1,1,1,0
2889,how many knights of ren are there,6,literature,0.25,1,0,1,1,1,1
1879,how many airports in hcmc,1,organization,0,1,1,1,1,1,0
3011,how many airports in kiev,3,organization,0.25,1,1,1,1,1,1
3235,how many mafias are there in italy,4,organization,1,1,1,1,1,1,1
3005,how many belts in taekwondo,9,sports,0,1,1,1,1,1,1
2679,how many belts are there in jiu jitsu,8,pop cultutre,0,1,1,1,1,1,1
3013,how many kylie jean books are there,8,literature,1,0,1,1,1,1,1
3503,how many mvps does kobe bryant have,5,sports,0,2,1,1,1,1,1
5,how many aiims in india,13,infrastructure,1,0,0,1,1,1,0
896,how many csu campuses are there in california,23,education,0.25,0,0,1,1,1,0
3940,how many episodes of dublin murders,8,entertainment,0,0,0,1,1,0,0
1631,how many ftas does south korea have,18,administration,0.75,0,1,1,1,0,1
1311,how many countries speak english,27,demography,1,0,1,1,1,0,1
2748,how many kazon sects are there,18,entertainment,0,1,0,1,1,0,1
1995,how many hof did kobe play with,8,sports,0,0,0,1,1,0,1
3794,how many villages in nsukka,4,administration,0.25,1,1,1,1,0,1
2215,how many iits in india 2020,23,education,0,1,0,1,1,0,0
1109,how many provinces in drc,25,geography,0,0,0,1,1,0,0
4859,how many southern states seceded,11,history,0,0,0,1,1,0,0
3300,how many medical schools in texas,14,infrastructure,0.75,1,0,1,1,0,1
542,how many books in the catholic bible,27,literature,0,0,0,1,1,0,1
5072,how many tokyo ghoul re volumes are there,16,literature,0,0,1,1,1,0,1
208,how many anheuser busch breweries are there,12,organization,1,0,1,1,1,0,1
4837,how many ann taylor stores in canada,2800,organization,1,0,0,1,1,0,1
5142,how many temples in utah,17,organization,0.75,0,1,1,1,0,1
4921,how many supreme court judges are there,6,politics,1,0,0,1,1,0,1
3400,how many mozart piano sonatas,18,pop culture,0,0,1,1,1,0,1
4583,how many rovers are currently on mars,4,science,1,1,0,1,1,0,1
1643,how many funerals for george floyd,4,social,0,1,1,1,1,0,1
3614,how many nfl players are from connecticut,25,sports,1,0,0,1,1,0,1
3635,how many nfl stadiums are there,30,sports,0.75,1,1,1,1,0,1
602,how many buzzer beaters does jordan have,9,sports,0,0,1,1,1,0,1
945,how many czech players in nhl,40,sports,1,0,1,1,1,0,1
1305,how many rings does elway have,2,sports,0,0,1,1,1,0,1
4373,how many qurans,20,literature,0,2,1,1,1,0,1
2607,how many jr stations in tokyo,5,organization,0.75,0,1,1,1,0,1
5098,how many commissioners does tsc have,9,organization,0.25,0,1,1,1,0,1
6042,how many varieties of zoysia grass are there,3,science,0,3,1,1,1,0,1
3848,how many nxt championships are there,17,sports,0,0,1,1,1,0,1
5410,how many vatican museums are there,54,architecture,0.25,2,0,1,1,0,1
2439,how many jails are in virginia,41,administration,1,0,1,1,1,0,1
1113,how many drdo centre are there in india,50,organization,1,0,1,1,1,0,1
2169,how many ifrs standards are notified in india,41,organization,1,0,0,1,1,0,1
4000,how many ombudsman in australia,7,administration,0.75,1,1,1,1,0,1
