qid,query,category,answer_norm,answer_relation,answer_metric
-6.43106892688669E+018,how many words are in national anthem of pakistan,culture,49,,
-5.19008181310911E+018,how many countries are a part of opec,demography,13,,
-8.47393047449879E+018,how many languages do they speak in africa,language,2000,,
-2.12723169529363E+018,how many prime ministers have there been in uk,politics,55,,
8.71183503444988E+018,how many stores do zara have in the uk,organization,60,,
-7.13125697646194E+018,how many episodes of corrie has there been,entertainment,10582,,
-1.68261643358063E+018,how many tornado planes does the uk have,politics,,,
-6.59293018557956E+018,how many strong verbs are there in german,language,200,,
8.18679324027251E+018,how many states in india have atleast one international border,geography,17,,
-4.06696668589602E+018,how many departments are there within the british ministry of magic,literature,7,,
2.51627020878909E+018,how many states are north of the southernmost point of canada,geography,27,,
-6.11266037808361E+018,how many types of cheese are produced in france,culture,400,,
-4.60113620007387E+018,how many episodes in great british bake off 2017,entertainment,10,,
-6.98511089592348E+018,how many gold medals won by india in 2018 commonwealth games,sports,26,,
1.44609904759636E+018,how many stores does lowes have in canada,organization,64,,
-8.45167567624885E+018,how many times have real madrid won the european cup in paris,sports,2,,
-1.65094601520178E+018,how many cracker barrels in the united states,organization,664,,
-6.78124957138442E+018,how many episodes of ray donovan series 3 are there,entertainment,12,,
-8.04538540773052E+018,how many branches of reserve bank of india in india,organization,31,,
-3.82000185117421E+018,how many hilton hotels are there in the uk,organization,145,,
-1.13316159784215E+017,how many medals has the american team won,sports,2629,,
-5.20122489597352E+018,how many indian prime ministers were born in independent india,politics,1,,
-5.69551251052265E+018,how many times has alabama been to the rose bowl,sports,7,,
-3.8036972865815E+018,how many world series wins does the dodgers have,sports,7,,
7.8027934367153E+018,how many times has south korea held the winter olympics,sports,1,,
-8.24790178184147E+018,how many times have the winter olympics been in the usa since 1924,sports,3,,
3.98241129773196E+018,how many pennsylvania house of representatives are there,politics,203,,
5.2776622447321E+018,how many nfl teams has st louis had,sports,4,,
1.1548675048219E+018,how many indian elephants are there in the world,wildlife,30000,,
1.55016074604518E+018,how many nuclear power plants in washington state,organization,1,,
7.8754276715627E+018,how many ncaa football games in a season,sports,,,
1.94725545516334E+018,the secret of crickley hall how many episodes,entertainment,3,,
7.09246617737395E+018,how many states in america have new in them,geography,4,,
2.79593219197715E+018,how many house of representative do we have in nigeria,politics,360,,
6.33274042065066E+018,how many gold medals did australia win in the 2000 olympics,sports,16,,
-4.19827317161175E+018,how many counties does the state of georgia have,geography,159,,
-4.70718540436406E+018,since 1910 how many members are elected to the house of representatives,politics,435,,
7.78838623412703E+018,how many medals did austria win in the 2011 alpine skiing world championships,sports,8,,
-3.40354289239511E+018,how many votes to approve supreme court justice,politics,60,,
8.59403024339457E+018,how many senators are there in the us senate,politics,100,,
-3.31751834641432E+017,how many breeds of pigs are there in the uk,wildlife,22,,
8.09577953918649E+018,how many us states are commonwealths and which states are they,geography,4,,
3.13954062945328E+018,how many paintings of sunflowers did van gogh paint,art,12,,
-7.15506352535996E+018,how many nfl games were played in london,sports,22,,
-6.4801406772714E+018,how many jimmy johns are there in the us,organization,2752,,
-2.57650733189302E+018,how many casinos are in atlantic city new jersey,organization,9,,
6.79213185866747E+018,how many vowels are in the thai alphabet,language,32,,
8.78336120619189E+018,how many rooms is there in buckingham palace,other,775,,
3.40650990470213E+018,how many hospitals are there in the united states,health,6093,,
-1.35640565081093E+018,how many countries touches the land boundary of india,geography,7,,
-2.31451205903354E+018,how many countries participated for the first time in the 2014 olympic winter games in sochi,sports,7,,
-6.47096102307574E+018,how many games have the eagles lost this season,sports,8,,
1.66012252496314E+018,how many seasons of johnny bravo are there,entertainment,4,,
-4.29589013498268E+018,how many seasons of jack taylor are on netflix,entertainment,3,,
8.8650538646624E+018,how many astronauts has nasa sent into space,science,600,,
7.87737704570324E+018,how many indian astronauts have gone to space,science,1,,
-5.07746958386807E+018,how many fires are going on in southern california right now,wildlife,,,
-3.67649496057923E+018,how many human rights are there in uk,politics,17,,
-5.99233070277493E+018,how many countries have english as first language,language,18,,
