qid,query,answer_norm,answer_enum
756,how many circuit courts are there in the us,12,"[First Circuit, Second Circuit, Third Circuit, Fourth Circuit, Fifth Circuit, Sixth Circuit, Seventh Circuit, Eight Circuit, Ninth Circuit, Tenth Circuit, Eleventh Circuit, Federal Circuit]"
6030,how many zones are in eritrea,6,"[Anseba, Debub (South), Debubawi K'eyih Bahri (Southern Red Sea), Gash Barka, Ma'akel (Central), Semenawi K'eyih Bahri (Northern Red Sea)]"
4035,how many opm ovas are there,6,"[The Shadow That Snuck Up Too Close, The Pupil Who is an Extremely Poor Talker, The Ninja Who is Too Complicated, Bang Who is Too Overbearing, The Sisters Who have Too Much Going On, The Murder Case That Was Too Impossible]"
1000,how many deserts are in the us,4,"[Great Basin, Mohave, Chihuahuan, Sonoran]"
6037,how many zones was germany divided into,4,"[Soviet occupation zone, French occupation zone, British occupation zone, US occupation zone]"
3616,how many methods of ndt are there,6,"[ultrasonic testing (UT),radiographic testing (RT),electromagnetic testing (ET),magnetic particle testing (MT),liquid penetrant testing (PT),visual testing (VT)]"
4667,how many sacraments are there in the catholic church,7,"[Baptism, Confirmation, Eucharist, Penance, Anointing of the Sick, Holy Orders, Matrimony]"
5096,how many territories does canada have,3,"[Northwest Territories, Nunavut, Yukon]"
5922,how many sons did yuyutsu have,101,[]
3273,how many mcu movies was robert downey jr in,2008,"[Iron Man, The Incredible Hulk, Iron Man 2, Iron Man 3, The Avengers, Avengers: Age of Ultron, Captain America: Civil War, Avengers: Infinity War, Avengers: Endgame, Black Widow, Spider-Man: Homecoming] "
4003,how many eminem albums went diamond,2,"[The Eminem Show, The Marshall Mathers LP]"
2275,how many inactive volcanoes are in hawaii,2,"[Haleakala, Hualalai]"
249,how many aqueducts did rome have,11,"[Aqua Appia, Aqua Anio Vetus, Aqua Marcia, Aqua Tepula, Aqua Julia, Aqua Virgo, Aqua Alsietina, Aqua Anio Novus, Aqua Claudia, Aqua Traiana, Aqua Alexandrina]"
5090,how many tribes of israel,12,"[Reuben, Issachar, Gad, Joseph, Simeon, Zebulun, Asher, Levi, Dan, Benjamin, Judah, Naphtali]"
