qid,query,prediction,cardinals,tf_answer,relaxed_precision,equivalent_ids,subgroups_ids,unrelated_ids
454,how many beverly hills cop movies were made,4,"[(4.0, 0.97), (4.0, 0.97), (3.0, 0.79), (4.0, 1.0), (4.0, 0.99), (4.0, 0.57), (4.0, 0.56)]","[('1', 0.47, '3', 3.0), ('3', 0.97, '4', 4.0), ('5', 0.97, '4', 4.0), ('13', 0.79, '3-movie collection', 3.0), ('30', 1.0, '4', 4.0), ('41', 0.99, '4', 4.0), ('42', 0.57, '4', 4.0), ('43', 0.56, '4', 4.0)]",1,"[30,3,5,13,41,42,43]",,
1029,how many siblings does chris cuomo have,4,"[(4.0, 0.95), (5.0, 0.68), (4.0, 0.87), (4.0, 0.98), (4.0, 0.84), (4.0, 0.98), (4.0, 0.97)]","[('2', 0.95, 'four siblings', 4.0), ('6', 0.68, 'five Cuomo children', 5.0), ('15', 0.87, 'four siblings', 4.0), ('21', 0.98, 'four siblings', 4.0), ('23', 0.84, 'four siblings', 4.0), ('25', 0.98, '4 siblings', 4.0), ('29', 0.97, 'four siblings', 4.0)]",1,"[21,25,29,2,15,23,6]",,
1282,how many wives did clint eastwood have,2,"[(2.0, 0.53), (2.0, 0.98), (1.0, 0.94), (2.0, 0.86), (2.0, 0.99), (2.0, 0.53), (5.0, 0.79), (2.0, 0.97), (2.0, 0.74), (2.0, 0.89), (2.0, 0.94), (6.0, 0.89), (8.0, 0.81), (2.0, 0.96)]","[('0', 0.53, 'twice', 2.0), ('1', 0.29, 'three children', 3.0), ('3', 0.98, 'two incredible women', 2.0), ('11', 0.94, 'one of them', 1.0), ('13', 0.86, 'twice', 2.0), ('14', 0.99, 'twice', 2.0), ('15', 0.53, '2 Ex-Wives', 2.0), ('16', 0.79, 'five different women', 5.0), ('17', 0.97, 'two wives', 2.0), ('19', 0.74, 'two children', 2.0), ('26', 0.89, 'twice', 2.0), ('28', 0.94, 'twice', 2.0), ('29', 0.89, 'six different women', 6.0), ('31', 0.41, 'one of the most envied couples', 1.0), ('33', 0.81, 'eight of his children', 8.0), ('41', 0.96, 'two wives', 2.0)]",1,"[14,3,17,41,28,26,13,0,15]",,"[19,11,16,29,33]"
2349,how many films irrfan khan acted,80,"[(155.0, 0.96), (80.0, 0.98), (100.0, 0.92), (4.0, 0.96)]","[('17', 0.36, '4 Talvar', 4.0), ('19', 0.96, '155 films', 155.0), ('26', 0.98, 'nearly 80 films', 80.0), ('30', 0.92, '100 films', 100.0), ('32', 0.96, 'four different categories', 4.0)]",1,"[26,30,19]",,[32]
2423,how many jack reacher movies,2,"[(2.0, 1.0), (2.0, 0.9), (2.0, 0.97), (2.0, 0.98), (2.0, 0.94), (2.0, 0.96), (2.0, 0.86), (2.0, 0.75), (2.0, 0.98), (2.0, 0.97)]","[('0', 1.0, '2', 2.0), ('4', 0.9, 'Two', 2.0), ('5', 0.97, '2”', 2.0), ('6', 0.98, 'two action movies', 2.0), ('16', 0.94, 'two Jack Reacher-centric movies', 2.0), ('20', 0.96, 'two films', 2.0), ('24', 0.86, '2 episode', 2.0), ('25', 0.75, '2 episode', 2.0), ('30', 0.98, 'two films', 2.0), ('31', 0.97, 'two films', 2.0)]",1,"[0,5,6,30,31,20,16,4]",,"[25,24]"
2626,how many john wick movies were made,4,"[(3.0, 0.61), (4.0, 0.74)]","[('14', 0.61, '3 - Parabellum', 3.0), ('20', 0.74, '4”', 4.0)]",1,[20],,[14]
3341,how many mib movies,4,"[(4.0, 0.61), (4.0, 0.63), (4.0, 0.99), (3.0, 0.93), (2.0, 0.75), (3.0, 0.68), (2.0, 0.82), (26.0, 0.97), (2.0, 0.76), (26.0, 0.97)]","[('0', 0.61, 'four films', 4.0), ('1', 0.63, '4', 4.0), ('2', 0.99, 'four films', 4.0), ('5', 0.93, 'three films', 3.0), ('6', 0.75, 'two agents', 2.0), ('8', 0.68, '3', 3.0), ('30', 0.82, 'two movies', 2.0), ('36', 0.97, '26 movies', 26.0), ('40', 0.76, '2 hour movie', 2.0), ('41', 0.49, '12 movies', 12.0), ('42', 0.97, '26 movies', 26.0)]",1,"[2,0,1,5]",,"[6,8,30,36,40,42]"
4099,how many pacific rim movies are there,2,"[(2.0, 0.94), (3.0, 0.54), (2.0, 0.98), (3.0, 0.86)]","[('2', 0.43, '3’', 3.0), ('3', 0.94, 'two Pacific Rim movies', 2.0), ('7', 0.49, 'two seasons', 2.0), ('21', 0.54, '3', 3.0), ('29', 0.98, 'two Pacific Rim movies', 2.0), ('37', 0.86, '3', 3.0)]",1,"[29,3,37]",,[21]
4521,how many rio movies are there,2,"[(2.0, 0.82), (3.0, 0.96), (2.0, 0.99), (2.0, 0.79), (2.0, 0.67)]","[('4', 0.82, '2', 2.0), ('5', 0.96, '3', 3.0), ('13', 0.99, '2', 2.0), ('27', 0.79, '2 American movies', 2.0), ('35', 0.67, '2 nocturnal fears', 2.0)]",1,"[13,4]",,"[27,35,5]"
4940,how many siblings does donald trump have,4,"[(4.0, 0.97), (5.0, 0.9), (4.0, 0.97), (4.0, 0.98), (4.0, 0.61), (6.0, 0.57), (4.0, 0.98)]","[('0', 0.97, 'four siblings', 4.0), ('5', 0.9, 'five siblings', 5.0), ('8', 0.97, 'four siblings', 4.0), ('10', 0.98, 'four siblings', 4.0), ('12', 0.61, 'four biological siblings', 4.0), ('22', 0.57, 'one of five siblingsCredit', 6.0), ('24', 0.98, 'four siblings', 4.0)]",1,"[10,24,0,8,12,5]",,[22]
5041,how many times was kenny rogers married,5,"[(5.0, 0.99), (5.0, 0.91), (5.0, 0.8), (5.0, 0.97), (5.0, 0.98), (5.0, 0.97), (5.0, 0.96), (5.0, 0.99), (5.0, 0.99), (2.0, 0.94), (5.0, 0.99), (5.0, 0.97), (5.0, 0.98), (2.0, 0.98), (4.0, 0.95), (5.0, 0.97), (5.0, 0.99), (2.0, 0.56), (3.0, 0.5)]","[('1', 0.99, 'five times', 5.0), ('2', 0.91, 'five times', 5.0), ('3', 0.8, 'five times', 5.0), ('4', 0.97, 'five times', 5.0), ('5', 0.98, 'five times', 5.0), ('8', 0.97, 'five times', 5.0), ('10', 0.96, 'five times', 5.0), ('16', 0.99, 'Five times', 5.0), ('17', 0.99, 'Five Times', 5.0), ('18', 0.94, 'two beautiful twin sons', 2.0), ('21', 0.99, 'five times', 5.0), ('22', 0.27, 'five times', 5.0), ('23', 0.97, 'five times', 5.0), ('24', 0.98, '5 Times', 5.0), ('31', 0.98, 'two children', 2.0), ('32', 0.95, 'four other times', 4.0), ('34', 0.97, 'five times', 5.0), ('36', 0.99, 'five times', 5.0), ('42', 0.56, 'two', 2.0), ('44', 0.5, '3 times', 3.0)]",1,"[1,16,17,21,36,5,24,4,8,23,34,10,2,3,32]",,[44]
6025,how many zombieland movies are there,2,"[(2.0, 0.98), (3.0, 0.61), (2.0, 0.98), (3.0, 0.61), (3.0, 0.98), (2.0, 0.91), (2.0, 0.99), (2.0, 0.65)]","[('0', 0.98, 'two films', 2.0), ('13', 0.61, '3 Release Date', 3.0), ('14', 0.98, 'two men', 2.0), ('22', 0.61, '3 ...', 3.0), ('23', 0.98, '3', 3.0), ('25', 0.91, '2', 2.0), ('26', 0.99, 'two films', 2.0), ('27', 0.65, '2', 2.0)]",1,"[26,0,25,27]",,"[14,13,22,23]"
222,how many aot books are there,14,"[(16.0, 0.94), (33.0, 0.98), (14.0, 0.67), (7.0, 0.79), (5.0, 0.59), (3.0, 0.99)]","[('5', 0.94, '16 books', 16.0), ('6', 0.98, '33 volumes', 33.0), ('11', 0.67, '14 volumes', 14.0), ('12', 0.79, '7', 7.0), ('13', 0.59, '5', 5.0), ('18', 0.99, 'three novels', 3.0)]",0,,,
239,how many aot movies are there,2,"[(2.0, 0.6), (4.0, 0.71), (5.0, 0.5), (2.0, 0.73), (2.0, 0.92), (4.0, 0.84), (2.0, 0.99), (5.0, 0.76)]","[('0', 0.6, 'two plot arcs', 2.0), ('3', 0.71, 'four compilation movies', 4.0), ('8', 0.5, '5', 5.0), ('11', 0.73, '2', 2.0), ('14', 0.92, '2', 2.0), ('25', 0.84, '4', 4.0), ('27', 0.28, '2 or a movie / few OVAs', 2.0), ('30', 0.23, '2: 12 episodes', 2.0), ('31', 0.99, '2', 2.0), ('33', 0.76, '5', 5.0), ('40', 0.45, '2 parts Part 1', 2.0), ('40', 0.45, '2 parts Part 1', 1.0)]",0,,,
570,how many bruce lee movies are there,4,"[(4.0, 0.98), (24.0, 0.95), (4.0, 0.96), (5.0, 0.98), (5.0, 0.84), (4.0, 0.97)]","[('3', 0.98, 'four movies', 4.0), ('5', 0.95, '24 films', 24.0), ('6', 0.96, 'four completed movies', 4.0), ('7', 0.98, 'five movies', 5.0), ('33', 0.84, 'five films', 5.0), ('34', 0.97, 'four kung fu films', 4.0)]",0,,,
746,how many cheech and chong movies are there,2,"[(2.0, 0.91), (2.0, 0.72)]","[('20', 0.91, 'two', 2.0), ('36', 0.72, '2', 2.0)]",0,,,
1032,how many siblings does steven adams have,17,"[(18.0, 0.68), (17.0, 0.97), (1.0, 0.51), (17.0, 0.68), (17.0, 0.97), (17.0, 0.99), (317.0, 0.75), (317.0, 0.75)]","[('1', 0.68, '18 Adams siblings', 18.0), ('2', 0.97, '17 siblings', 17.0), ('8', 0.51, 'one of them', 1.0), ('14', 0.68, '17 siblings', 17.0), ('18', 0.97, '17 siblings', 17.0), ('19', 0.99, '17 siblings', 17.0), ('25', 0.75, '17. 300', 317.0), ('27', 0.75, '17. 300', 317.0)]",0,,,
1235,how many eddie murphy movies are there,3,"[(3.0, 0.82), (6.0, 0.9), (40.0, 0.83), (2.0, 0.67), (4.0, 0.99), (2.0, 0.93), (3.0, 0.6)]","[('1', 0.82, '3 Eddie Murphy movies', 3.0), ('3', 0.9, 'six movies', 6.0), ('6', 0.83, '40 films', 40.0), ('7', 0.67, '2 America marks', 2.0), ('9', 0.99, '4', 4.0), ('13', 0.93, 'two cop-killers', 2.0), ('18', 0.6, 'three', 3.0), ('30', 0.4, '2', 2.0), ('34', 0.2, 'six daughters', 6.0)]",0,,,
