qid,query,num_organic_results,num_count_spans,num_neg_snip,num_snip,answer_relation,answer_norm,answer_metric
4727,how many kfc are there in india,10,2,8,10,=,350.0,
921,how many cvs in the us,10,3,7,10,=,9800.0,
168,how many alaska state troopers are there,10,1,9,10,=,300.0,
3121,how many lga does the navy have,10,1,9,10,=,7.0,
3377,how many terminals at manila,10,2,8,10,=,4.0,
4370,how many qfc stores in washington state,10,4,6,10,=,62.0,
2451,how many jane the virgin episodes,11,7,5,11,=,100.0,
6059,how many customers does zuora have,10,1,9,10,=,950.0,
5083,how many acres is tpc sawgrass,10,3,7,10,=,415.0,
4095,how many oyo hotels in india,10,1,9,10,=,10000.0,
125,how many types of ahu are there,10,1,9,10,=,2.0,
3023,how many lander in germany,10,2,8,10,=,2.0,
579,how many bsl 4 labs in the us,10,1,9,10,=,13.0,
5324,how many urgent care centers in the us 2019,10,4,6,10,=,9616.0,
673,how many ccd outlets in world,10,2,8,10,=,1752.0,
2985,how many branches of kuya j restaurant,10,2,8,10,=,100.0,
1491,how many fbs football teams,11,8,5,11,=,130.0,
4102,how many pakistani in uk,10,1,9,10,=,1170000.0,
4659,how many ryvita is a healthy extra b,10,1,9,10,=,4.0,
583,how many bsnl towers in india,10,2,8,10,=,54000.0,
2059,how many cfm for hvlp paint gun,7,1,6,7,=,17.0,
5198,how many freshman at uci,10,2,8,10,=,72391.0,
2056,how many users does hulu have,10,1,9,10,=,30400000.0,
2691,how many jutsu does sasuke have,9,1,8,9,=,50.0,
568,how many brothers did goliath have,8,4,5,8,=,3.0,
2505,how many jehovah witnesses in the united states,10,2,8,10,=,8400000.0,
2465,how many jbl speakers can be connected,9,2,7,9,=,100.0,
3762,how many branch of nrb global bank,10,1,9,10,=,69.0,
777,how many neutrons does cl have,9,15,2,9,=,18.0,
1547,how many theaters does amc have,9,1,8,9,=,1000.0,
2002,how many horsepower is 212cc,7,6,2,7,=,6.5,
2988,how many kuzhi is 1 acre,10,29,0,10,=,1.0,
855,how many slices cpk pizza,10,2,8,10,=,6.0,
1516,how many female navy seals are there,9,1,8,9,=,5.0,
4062,how many osi layers are there,10,4,6,10,=,7.0,
1932,how many high schools in massachusetts,10,1,9,10,=,641.0,
656,how many cbse schools in india,10,1,9,10,=,20299.0,
1268,how many egyptian gods were there,9,2,7,9,=,2000.0,
3693,how many nk cells in mouse spleen,10,1,9,10,=,2.0,
722,how many cfb bowl games,10,2,8,10,=,40.0,
5736,how many cycles of xeloda,10,3,7,10,=,8.0,
2559,how many jio subscribers in india,10,3,7,10,=,387500000.0,
2984,how many kuwaitis are there in kuwait,10,2,8,10,=,3200000.0,
469,how many employees does bhf have,10,1,9,10,=,3000.0,
4372,how many moves in qigong,10,3,8,10,=,8.0,
4765,how many sikhs in india,10,1,9,10,=,20800000.0,
345,how many australians died in vietnam,10,1,9,10,=,521.0,
5490,how many vowels are in the spanish alphabet,8,1,7,8,=,5.0,
5764,how many district in xieng khouang,10,2,8,10,=,8.0,
4670,how many sahaba participated in battle of badr,8,1,7,8,=,313.0,
2172,how many iga stores are there in australia,10,1,9,10,=,1600.0,
2182,how many antigens can igg bind,10,4,7,10,=,2.0,
3160,how many lahore in india,9,2,8,9,=,2.0,
3187,how many presidents named james,10,5,5,10,=,6.0,
122,how many ahle hadees in india,10,1,9,10,=,1000.0,
2604,how many district in j&k,10,3,7,10,=,22.0,
3120,how many lhds in nsw,7,2,5,7,=,8.0,
4536,how many rlcs has turbo won,9,2,7,9,=,4.0,
1771,how many gop senators are up for reelection,10,2,8,10,=,45.0,
