item,aliases
Algeria,[]
Angola,[]
Congo,[]
Equatorial Guinea,[]
Gabon,[]
Iran,[]
Iraq,[]
Kuwait,[]
Libya,[]
Nigeria,[]
Saudi Arabia,[]
United Arab Emirates,[]
Venezuela,[]
Afrikaans,[]
Arabic,[]
Portuguese,[]
Swahili,[]
French,[]
Somali,[]
Berber,[]
Amharic,[]
Igbo,[]
Oromo,[]
Boris Johnson,[]
Theresa May,[]
David Cameron,[]
Gordon Brown,[]
Tony Blair,[]
Margaret Thatcher,[]
James Callaghan,[]
Harold Wilson,[]
Edward Heath,[]
Jon Major,[]
Aberdeen,[]
Glasgow,[]
Dundee,[]
Edinburgh,[]
London,[]
Gujarat,[]
Rajasthan,[]
Punjab,[]
Jammu and Kashmir,"[Jammu and Kashmir,J&K]"
Himachal Pradesh,"[Himachal Pradesh,HP]"
Uttarakhand,[]
Uttar Pradesh,"[Uttar Pradesh,UP]"
Bihar,[]
West Bengal,"[West Bengal,WB]"
Sikkim,[]
Assam,[]
Arunachal Pradesh,"[Arunachal Pradesh,AP]"
Meghalaya,[]
Nagaland,[]
Maniput,[]
Mizoram,[]
Tripura,[]
Department of Magical Law Enforcement,"[Department of Magical Law Enforcement,Magical Law Enforcement]"
Department of Magical Game and Sports,"[Department of Magical Game and Sports,Magical Game and Sports]"
Department of International Magical Cooperation,"[Department of International Magical Cooperation,International Magical Cooperation]"
Department of Magical Accidents and Catastrophes,"[Department of Magical Accidents and Catastrophes,Magical Accidents and Catastrophes]"
Department for the Regulation and Control of Magical Creatures,"[Department for the Regulation and Control of Magical Creatures,Regulation and Control of Magical Creatures]"
Department of Magical Transportation,"[Department of Magical Transportation,Magical Transportation]"
Department of Myteries,"[Department of Myteries,Mysteries]"
Alaska,[]
Washington,[]
Idaho,[]
Montana,[]
North Dakota,[]
Minnesota,[]
Michigan,[]
Wisconsin,[]
New York,[]
Maine,[]
Cancoillotte Cheese,"[Cancoillotte Cheese,Cancoillotte]"
Blue Cheese,"[Blue Cheese,fromage bleu]"
Brie de Meaux,[]
Brie de Melun,[]
Camembert de Normandie,"[Camembert de Normandie,Camembert]"
Comte Cheese,"[Comte Cheese,Comte]"
Abondance Cheese,"[Abondance Cheese,Abondance]"
Faisselle Cheese,"[Faisselle Cheese,Faisselle]"
Banon Cheese,"[Banon Cheese,Banon]"
Mimolette Cheese,"[Mimolette Cheese,Mimolette,Boule de Lille]"
"Weightlifting Women's 48 kg","[Weightlifting Women's 48 kg,Women's,Weightlifting]"
"Weightlifting Men's 85 kg","[Weightlifting Men's 85 kg,Men's,Weightlifting]"
"Weightlifting Women's 69 kg","[Weightlifting Women's 69 kg,Women's,Weightlifting]"
"Shooting Women's meter air pistol","[Shooting Women's meter air pistol,Women's meter air pistol,Shooting]"
"Shooting Men's 10 metre air pistol","[Shooting Men's 10 metre air pistol,Men's 10 meter air pistol,Shooting]"
"Table Tennis Women's team","[Table Tennis Women's team,Table Tennis,Women's]"
"Table Tennis Men's team","[Table Tennis Men's team,Table Tennis,Men's]"
Badminton Mixed team,"[Badminton Mixed team,Badminton]"
"Wrestling Men's freestyle 57 kg","[Wrestling Men's freestyle 57 kg,Men's freestyle,Wrestling]"
"Boxing Women's light flyweight 48 kg","[Boxing Women's light flyweight 48 kg,Women's,Boxing]"
Edmonton (Alberta),"[Edmonton (Alberta),Edmonton]"
Calgary (Alberta),"[Calgary (Alberta),Calgary]"
Toronto (Ontario),"[Toronto (Ontario),Toronto]"
Windsor (Ontario),"[Windsor (Ontario),Windsor]"
Winnipeg (Manitoba),"[Winnipeg (Manitoba),Winnipeg]"
Brampton (Ontario),"[Brampton (Ontario),Brampton]"
Victoria (British Columbia),"[Victoria (British Columbia),Victoria]"
