qid,query,type,answer.default,answer_norm,category_extracted,category_human,category_ii,comments,human_annotations,match
4521,how many rio movies are there,kg50,2,2,absolute,absolute,1,,2,1
2051,how many husbands did princess margaret have,kg50,1,1,absolute,absolute,1,,1,1
1282,how many wives did clint eastwood have,kg50,2,2,absolute,absolute,1,,2,1
2049,how many husbands did joe exotic have,kg50,2,2,absolute,absolute,1,,2,1
2423,how many jack reacher movies,kg50,2,2,absolute,absolute,1,,2,1
4099,how many pacific rim movies are there,kg50,2,2,absolute,absolute,1,,2,1
6025,how many zombieland movies are there,kg50,2,2,absolute,absolute,1,,2,1
2837,how many kids does nicky jam have,kg50,3,3,absolute,absolute,1,,3,1
4673,how many sailor moon movies are there,kg50,3,3,absolute,absolute,1,,3,1
454,how many beverly hills cop movies were made,kg50,4,4,absolute,absolute,1,,4,1
1029,how many siblings does chris cuomo have,kg50,4,4,absolute,absolute,1,,4,1
1728,how many gi joe movies are there,kg50,4,4,absolute,absolute,1,,4,1
2421,how many john wick movies are there,kg50,4,4,absolute,absolute,1,,4,1
2626,how many john wick movies were made,kg50,4,4,absolute,absolute,1,,4,1
2712,how many kids does cam newton have,kg50,4,4,absolute,absolute,1,,4,1
3341,how many mib movies,kg50,4,4,absolute,absolute,1,,4,1
3519,how many mythica movies are there,kg50,4,4,absolute,absolute,1,,4,1
4803,how many slugterra movies are there,kg50,4,4,absolute,absolute,1,,4,1
4940,how many siblings does donald trump have,kg50,4,4,absolute,absolute,1,,4,1
239,how many aot movies are there,kg50,5,5,absolute,absolute,1,,5,1
5041,how many times was kenny rogers married,kg50,5,5,absolute,absolute,1,,5,1
2825,how many kids does elon musk have,kg50,7,7,absolute,absolute,1,,7,1
4289,how many harry potter films,kg50,7,7,absolute,absolute,1,,7,1
1938,how many hilo books are there,kg50,8,8,absolute,absolute,1,,8,1
3231,how many maeve kerrigan books are there,kg50,13,13,absolute,absolute,1,,13,1
2445,how many james bond movies were made,kg50,26,26,absolute,absolute,1,,26,1
2128,how many indiana jones movies are there,kg50,5,5,absolute,absolute,1,,5,1
756,how many circuit courts are there in the us,snippet100,12,12,absolute,absolute,1,,12,1
6030,how many zones are in eritrea,snippet100,six,6,absolute,absolute,1,,6,1
4035,how many opm ovas are there,snippet100,6,6,absolute,absolute,1,,6,1
1000,how many deserts are in the us,snippet100,four,4,absolute,absolute,1,,4,1
6037,how many zones was germany divided into,snippet100,four,4,absolute,absolute,1,,4,1
3616,how many methods of ndt are there,snippet100,six,6,absolute,absolute,1,,6,1
4667,how many sacraments are there in the catholic church,snippet100,seven,7,absolute,absolute,1,,7,1
5096,how many territories does canada have,snippet100,three,3,absolute,absolute,1,,3,1
4003,how many eminem albums went diamond,snippet100,two,2,absolute,absolute,1,,2,1
