qid,query,answer_norm,answer_enum
4521,how many rio movies are there,2,"[Rio, Rio 2]"
2051,how many husbands did princess margaret have,1,[Antony Armstrong-Jones]
1282,how many wives did clint eastwood have,2,"""[Dina Eastwood, Maggie Johnson]"""
2049,how many husbands did joe exotic have,2,"[Travis Maldonado, Dilon Passage]"
2423,how many jack reacher movies,2,"[Jack Reacher, Jack Reacher : Never Go Back]"
4099,how many pacific rim movies are there,2,"[Pacific Rim, Pacific Rim: Uprising]"
6025,how many zombieland movies are there,2,"[Zombieland, Zombieland: Double Tap]"
2837,how many kids does nicky jam have,3,"[Yarimar Rivera, Joe Martin Rivera, Alyssa Rivera]"
4673,how many sailor moon movies are there,3,"[Sailor Moon R: The Movie, Sailor Moon S: The Movie, Sailor Moon SuperS: The Movie, Sailor Moon Eternal]"
454,how many beverly hills cop movies were made,4,"[Beverly Hills Cop, Beverly Hills Cop II, Beverly Hills Cop III, Beverly Hills Cop IV]"
1029,how many siblings does chris cuomo have,4,"[Margaret Cuomo, Andrew Cuomo, Maria Cuomo, Madeline Cuomo]"
1728,how many gi joe movies are there,4,"[G.I. Joe: The Rise of Cobra (2009), G.I. Joe: Retaliation (2013), Snake Eyes: G.I. Joe Origins (2021), G.I. Joe: Ever Vigilant]"
2421,how many john wick movies are there,4,"[John Wick, John Wick: Chapter 2, John Wick: Chapter 3 � Parabellum, John Wick: Chapter 4]"
2626,how many john wick movies were made,4,"[John Wick, John Wick: Chapter 2, John Wick: Chapter 3 � Parabellum, John Wick: Chapter 4]"
2712,how many kids does cam newton have,4,"[Sebastian Newton, Cashmere Newton, Camidas Newton, Sovereign-Dior Newton]"
3341,how many mib movies,4,"[Men in Black, Men in Black II, Men in Black 3, Men in Black: International]"
3519,how many mythica movies are there,4,"[Mythica: A quest for Heroes, Mythica: The Darkspore, Mythica: The Necromancer, Mythica: The Iron Crown, Mythica: The Godslayer]"
4803,how many slugterra movies are there,4,"[Slugterra: Eastern Caverns, Slugterra: Into the Shadows, Slugterra: Return of the Elementals, Slugterra: Slug Fu Showdown (Video), Slugterra: Ghoul from Beyond]"
4940,how many siblings does donald trump have,4,"[Maryanne Trump, Fred Trump Jr., Elizabeth Trump, Robert Trump]"
239,how many aot movies are there,5,"[Attack on Titan: Crimson Bow and Arrow, Attack on Titan: The Wings of Freedom, Attack on Titan: The Roar of Awakening, Attack on Titan: Chronicle]"
5041,how many times was kenny rogers married,5,"[Janice Gordon, Jean, Margo Anderson, Marianne Gordon, Wanda Miller]"
2825,how many kids does elon musk have,7,"[Nevada Musk, Xavier Musk, Griffin Musk, Kai Musk, Saxon Musk, Damian Musk, X AE A-XII Musk]"
4289,how many harry potter films,7,"[Harry Potter and the Philosopher's Stone (2001), Harry Potter and the Chamber of Secrets (2002), Harry Potter and the Prisoner of Azkaban (2004), Harry Potter and the Goblet of Fire (2005), Harry Potter and the Order of the Phoenix (2007), Harry Potter and the Half-Blood Prince (2009), Harry Potter and the Deathly Hallows � Part 1 (2010), Harry Potter and the Deathly Hallows � Part 2 (2011)]"
1938,how many hilo books are there,8,"[Hilo Book 1: The Boy Who Crashed to Earth, Hilo Book 2: Saving the Whole Wide World, Hilo Book 3: The Great Big Boom, Hilo Book 4: Waking the Monsters, Hilo Book 5: Then Everything Went Wrong,Hilo Book 6: All the Pieces Fit,Hilo Book 7: Gina�The Girl Who Broke the World,Hilo Book 8: Gina and the Big Secret]"
2448,how many jane austen novels are there,10,"[Sense and Sensibility, Pride and Prejudice, Mansfield Park, Emma, Northanger Abbey, Persuasion, Lady Susan,The Watsons,Sanditon]"
2638,how many novels did jane austen write,10,"[Sense and Sensibility, Pride and Prejudice, Mansfield Park, Emma, Northanger Abbey, Persuasion, Lady Susan,The Watsons,Sanditon]"
3731,how many novels did jane austen complete,10,"[Sense and Sensibility, Pride and Prejudice, Mansfield Park, Emma, Northanger Abbey, Persuasion, Lady Susan]"
1841,how many hannah montana movies are there,13,[Hannah Montana: The Movie]
3231,how many maeve kerrigan books are there,13,"[The Burning, The Reckoning, The Last Girl, Left For Dead, The Stranger You Know, The Kill, After the Fire, Let the Dead Speak, One in Custody, Cruel Acts, Love Lies Bleeding, The Cutting Place, Silent Kill]"
2964,how many kubrick movies,18,"[Fear and Desire, Killer's Kiss, The Killing, Paths of Glory, Spartacus, Lolita, Dr. Stragelove, 2001: A Space Odyssey, A Clockwork Orange, Barry Lyndon, The Shining, Full Metal Jacket, Eyes Wide Shut]"
2445,how many james bond movies were made,26,"[Dr. No (1962), From Russia with Love (1963), Goldfinger (1964), Thunderball (1965), You Only Live Twice (1967), On Her Majesty's Secret Service (1969), Diamonds Are Forever (1971), Live and Let Die (1973), The Man with the Golden Gun (1974), The Spy Who Loved Me (1977), Moonraker (1979), For Your Eyes Only (1981), Octopussy (1983), A View to a Kill (1985), The Living Daylights (1987), Licence to Kill (1989), GoldenEye (1995), Tomorrow Never Dies (1997), The World Is Not Enough (1999), Die Another Day (2002), Casino Royale (2006), Quantum of Solace (2008), Skyfall (2012), Spectre (2015), No Time to Die (2021)]"
746,how many cheech and chong movies are there,61,"[Up in Smoke (1978),Cheech and Chong's Next Movie (1980),Nice Dreams (1981),Things Are Tough All Over (1982),Still Smokin (1983),Cheech & Chong's The Corsican Brothers (1984),Get Out of My Room (1985),Cheech & Chong: Roasted (2008),Cheech & Chong's Animated Movie! (2013)]"
1283,how many wives did king solomon have,2,"[Naamah, Pharaoh�s daughter]"
1235,how many eddie murphy movies are there,50,"[The Haunted Mansion, Dr. Dolittle, Norbit, Shrek, Dreamgirls,]"
1032,how many siblings does steven adams have,4,"[Valarie Adams, Lisa Adams, Warrren Adams, Sid Adams Jr.]"
2128,how many indiana jones movies are there,5,"[Raiders of the lost ark, The Temple of Doom, The Last crusade, The Kingdom of the crystal skull]"
2620,how many jodi picoult books are there,16,"[Handle with Care, House Rules, Sing You Home, Between the Lines, Lone Wolf, The Storyteller, Leaving Time, Off the Page, Small Great Things, A Spark of Light]"
570,how many bruce lee movies are there,18,"[Enter the Dragon, Game of Death, Circle of Iron, Golden Gate Girl, Fist of Fury, The Thunderstorm, The Way of the Dragon, Game of Death, The Orphan, City Hunter]"
