"qid","query","prediction","cardinals","tf_answer","relaxed_precision","equivalent_ids","subgroups_ids","unrelated_ids"
5397,"how many aiims in india",13,"[(13.0, 0.82), (12.0, 0.77)]","[('1', 0.82, '13 AIIMS colleges', 13.0), ('12', 0.77, '12 new All India Institute', 12.0)]",1,"[12]",,
6586,"how many barangays in imus cavite",97,"[(829.0, 0.96), (97.0, 0.75), (13.0, 0.99), (97.0, 0.99)]","[('4', 0.96, '829 barangays', 829.0), ('14', 0.75, '97 barangays', 97.0), ('16', 0.99, '13 barangays', 13.0), ('19', 0.99, '97 barangays', 97.0)]",1,"[14]",,
5961,"how many buzzer beaters does jordan have",9,"[(9.0, 0.92), (8.0, 0.5), (100.0, 0.51), (8.0, 0.76), (28.0, 0.75)]","[('15', 0.92, '9 Career Buzzer Beaters', 9.0), ('22', 0.5, '8 buzzer beaters', 8.0), ('23', 0.51, '100 buzzer-beaters', 100.0), ('32', 0.76, '8 buzzer-beaters', 8.0), ('36', 0.75, '28 or 29 game winners', 28.0)]",1,"[22,32]",,"[23,36]"
7238,"how many circuit courts are there in the us",12,"[(13.0, 0.99), (13.0, 0.72), (2.0, 0.67), (13.0, 0.95), (12.0, 0.78), (8.0, 0.87), (12.0, 0.87), (12.0, 0.99)]","[('0', 0.99, '13 circuits', 13.0), ('2', 0.72, '13 judicial circuits', 13.0), ('6', 0.67, 'twice yearly', 2.0), ('7', 0.95, '13 circuit courts', 13.0), ('16', 0.78, '12 regional circuit courts', 12.0), ('18', 0.87, '8 judicial circuits', 8.0), ('21', 0.87, '12 regional circuits', 12.0), ('28', 0.99, '12 circuits', 12.0)]",1,"[21,16,0,2,7,18]",,"[6]"
6226,"how many deserts are in the us",4,"[(4.0, 0.73), (4.0, 0.56)]","[('1', 0.73, 'four major deserts', 4.0), ('19', 0.56, '4 deserts', 4.0)]",1,"[19]",,
6930,"how many floats nyx",44,"[(44.0, 0.98), (44.0, 0.61), (44.0, 0.9), (44.0, 0.86)]","[('0', 0.98, '44 floats', 44.0), ('5', 0.61, '44 floats', 44.0), ('6', 0.9, '44 floats', 44.0), ('9', 0.86, '44 float parade', 44.0)]",1,"[6,9,5]",,
5028,"how many irish died in the famine",1000000,"[(1000000.0, 0.98), (970.0, 0.98), (2400000.0, 0.98), (1000000.0, 0.99), (1000000.0, 0.97), (1000000.0, 0.94), (1000000.0, 0.97), (1000000.0, 0.79), (1000000.0, 0.87), (1000000.0, 0.87), (1000000.0, 0.98)]","[('1', 0.98, 'about one million people', 1000000.0), ('7', 0.98, '970 people', 970.0), ('11', 0.98, '2.4 million people', 2400000.0), ('13', 0.99, 'one million people', 1000000.0), ('20', 0.97, 'about 1 million people', 1000000.0), ('25', 0.94, 'one million people', 1000000.0), ('27', 0.97, '1 million Irish men', 1000000.0), ('30', 0.79, 'one million Irish people', 1000000.0), ('31', 0.87, 'estimated one million people', 1000000.0), ('35', 0.87, 'approximately one million people', 1000000.0), ('37', 0.98, 'about one million people', 1000000.0)]",1,"[1,37,20,27,25,31,35,30]","[7]","[11]"
8208,"how many kazon sects are there",18,"[(18.0, 0.98), (18.0, 0.98), (18.0, 0.99), (18.0, 0.98)]","[('0', 0.98, 'eighteen different sects', 18.0), ('1', 0.98, 'eighteen separate sects', 18.0), ('3', 0.99, 'eighteen different sects', 18.0), ('14', 0.98, '18 different sects', 18.0)]",1,"[0,1,14]",,
8434,"how many kylie jean books are there",8,"[(22.0, 0.97), (8.0, 0.95), (8.0, 0.95)]","[('1', 0.97, '22 Books', 22.0), ('14', 0.95, '8 books', 8.0), ('18', 0.95, '8 books', 8.0)]",1,"[18,1]",,
5117,"how many mvps does kobe bryant have",5,"[(5.0, 0.97), (3.0, 0.8), (5.0, 0.93), (5.0, 0.62), (5.0, 0.85)]","[('2', 0.97, '5 championships', 5.0), ('6', 0.8, 'three consecutive NBA championships', 3.0), ('8', 0.93, 'five NBA championships', 5.0), ('11', 0.62, 'five championships', 5.0), ('12', 0.28, '7 years', 7.0), ('20', 0.24, '3 championships""', 3.0), ('29', 0.85, 'five MVPs', 5.0), ('34', 0.41, '12-time NBA', 12.0), ('45', 0.44, 'four times', 4.0)]",1,"[8,29,11,6]",,
