"qid","query","answer.default","answer_norm","answer_relation","answer_metric","comments","category","instances_req","qualifier_req","aggregate","prediction","cardinals","tf_answer","precision","correctness","std","relaxed_precision","equivalent","subgroups","unrelated","equivalent_ids","subgroups_ids","unrelated_ids"
2741,"how many students at liu post",15546,15546,"=",,,"education",1,1,"weighted",15546,"[(15546.0, 0.98)]","[('0', 0.98, 'approximately 15,546', 15546.0)]",1,1,,1,"[('0', 'approximately 15,546')]",,,,,
1696,"how many kv schools in haryana",56,56,"=",,,"education",1,1,"weighted",56,"[(56.0, 0.9), (44.0, 0.79), (1229.0, 0.91)]","[('0', 0.9, '56 KVS schools', 56.0), ('1', 0.79, '44 Kendriya Vidyalaya School', 44.0), ('9', 0.91, 'Nearly 1229 kv schools', 1229.0)]",1,1,680.72,1,"[('0', 0.9, '56 KVS schools', 56.0), ('1', 0.79, '44 Kendriya Vidyalaya School', 44.0)]","[]","[('9', 0.91, 'Nearly 1229 kv schools', 1229.0)]","[1]",,"[9]"
1804,"how many ophthalmology practices are there in the us",18500,18500,"=",,"multiple counts","health",1,1,"weighted",18500,"[(18500.0, 0.94), (23861.0, 0.73), (7000.0, 0.96)]","[('10', 0.94, 'about 18,500', 18500.0), ('11', 0.73, 'approximately 23,861', 23861.0), ('32', 0.96, 'about 7,000', 7000.0)]",1,1,8614.75,1,"[('10', 0.94, 'about 18,500', 18500.0), ('11', 0.73, 'approximately 23,861', 23861.0)]","[('32', 0.96, 'about 7,000', 7000.0)]","[]","[11]","[32]",
3022,"how many mvnos in the us",139,139,"=",,,"industry",1,1,"weighted",139,"[(36000000.0, 0.65), (139.0, 0.9), (4.0, 0.83), (139.0, 0.98), (113900000000.0, 0.9)]","[('2', 0.65, '36 million active subscribers', 36000000.0), ('4', 0.9, '139 MVNO brands', 139.0), ('9', 0.83, 'four major carriers', 4.0), ('19', 0.98, '139 MVNO brands', 139.0), ('26', 0.9, '113.9 billion', 113900000000.0)]",1,1,50933605959,1,"[('19', 0.98, '139 MVNO brands', 139.0), ('4', 0.9, '139 MVNO brands', 139.0)]","[('9', 0.83, 'four major carriers', 4.0)]","[('2', 0.65, '36 million active subscribers', 36000000.0), ('26', 0.9, '113.9 billion', 113900000000.0)]","[4]","[9]","[2,26]"
4298,"how many ikea's are in the us",52,52,"=",,,"organization",1,1,"weighted",52,"[(52.0, 0.95), (50.0, 0.66), (52.0, 0.52), (52.0, 0.93), (50.0, 0.67), (52.0, 0.78), (40.0, 0.95), (52.0, 0.95), (422.0, 0.63), (50.0, 0.87), (52.0, 0.78), (464.0, 0.84), (50.0, 0.89), (445.0, 0.68)]","[('0', 0.95, '52 IKEA locations', 52.0), ('1', 0.66, '50 IKEA locations', 50.0), ('2', 0.52, '52 IKEA locations', 52.0), ('3', 0.93, '52 IKEA locations', 52.0), ('4', 0.67, '50 IKEA locations', 50.0), ('5', 0.78, '52 IKEA locations', 52.0), ('6', 0.95, 'roughly 40 stores', 40.0), ('7', 0.95, '52 IKEA locations', 52.0), ('9', 0.63, '422 stores', 422.0), ('11', 0.87, '50 IKEA locations', 50.0), ('20', 0.78, '52 IKEA locations', 52.0), ('25', 0.84, '464 IKEA stores', 464.0), ('34', 0.89, '50 IKEA locations', 50.0), ('38', 0.68, '445 Ikea stores', 445.0)]",1,1,167.78,1,"[('0', 0.95, '52 IKEA locations', 52.0), ('7', 0.95, '52 IKEA locations', 52.0), ('3', 0.93, '52 IKEA locations', 52.0), ('5', 0.78, '52 IKEA locations', 52.0), ('20', 0.78, '52 IKEA locations', 52.0), ('2', 0.52, '52 IKEA locations', 52.0), ('1', 0.66, '50 IKEA locations', 50.0), ('4', 0.67, '50 IKEA locations', 50.0), ('6', 0.95, 'roughly 40 stores', 40.0), ('11', 0.87, '50 IKEA locations', 50.0), ('34', 0.89, '50 IKEA locations', 50.0)]","[]","[('9', 0.63, '422 stores', 422.0), ('25', 0.84, '464 IKEA stores', 464.0), ('38', 0.68, '445 Ikea stores', 445.0)]","[7,3,5,20,2,1,4,6,11,34]",,"[9,25,38]"
1653,"how many presidents named william",4,4,"=",,,"politics",1,1,"weighted",4,"[(4.0, 0.97), (4.0, 0.93), (6.0, 0.92), (4.0, 0.82), (4.0, 0.67), (6.0, 0.6), (4.0, 0.94)]","[('0', 0.97, 'Four', 4.0), ('2', 0.93, 'four-year term', 4.0), ('4', 0.92, 'Six U.S. presidents', 6.0), ('11', 0.82, '4 presidents', 4.0), ('23', 0.67, '4 Williams', 4.0), ('27', 0.39, 'Four presidents', 4.0), ('29', 0.6, 'six', 6.0), ('30', 0.42, 'Four different Black & Tan Coonhounds', 4.0), ('34', 0.94, '4 presidents', 4.0)]",1,1,0.98,1,"[('0', 0.97, 'Four', 4.0), ('34', 0.94, '4 presidents', 4.0), ('2', 0.93, 'four-year term', 4.0), ('11', 0.82, '4 presidents', 4.0), ('23', 0.67, '4 Williams', 4.0)]","[]","[('4', 0.92, 'Six U.S. presidents', 6.0), ('29', 0.6, 'six', 6.0)]","[34,11,23]",,"[2,4,29]"
2943,"how many seats mns won",1,1,"=",,,"politics",1,1,"weighted",1,"[(1.0, 0.98), (1.0, 0.55), (1.0, 0.62), (1.0, 0.84), (1.0, 0.96), (1.0, 0.98), (1.0, 0.99), (1.0, 0.99), (1.0, 0.99), (2.0, 0.93)]","[('0', 0.98, '1 seat', 1.0), ('1', 0.55, 'one.', 1.0), ('2', 0.62, 'one seat —', 1.0), ('4', 0.84, 'one seat', 1.0), ('11', 0.96, 'one seat', 1.0), ('17', 0.98, 'one seat', 1.0), ('25', 0.99, '1 seat', 1.0), ('26', 0.99, 'one seat', 1.0), ('27', 0.99, '1 seat', 1.0), ('34', 0.49, '1 of 12', 12.0), ('40', 0.93, '1 of 2', 2.0)]",1,1,0.32,1,"[('25', 0.99, '1 seat', 1.0), ('26', 0.99, 'one seat', 1.0), ('27', 0.99, '1 seat', 1.0), ('0', 0.98, '1 seat', 1.0), ('17', 0.98, 'one seat', 1.0), ('11', 0.96, 'one seat', 1.0), ('4', 0.84, 'one seat', 1.0), ('2', 0.62, 'one seat —', 1.0), ('1', 0.55, 'one.', 1.0)]","[]","[('40', 0.93, '1 of 2', 2.0)]","[26,27,0,17,11,4,2,1,40]",,
2622,"how many koch brothers",4,4,"=",,"instances available","social",1,1,"weighted",4,"[(4.0, 0.91), (4.0, 0.98), (4.0, 0.98), (4.0, 0.98)]","[('0', 0.91, 'four sons', 4.0), ('19', 0.98, 'four Koch brothers', 4.0), ('27', 0.98, 'four sons', 4.0), ('31', 0.98, 'four sons', 4.0)]",1,1,0,1,"[('19', 0.98, 'four Koch brothers', 4.0), ('27', 0.98, 'four sons', 4.0), ('31', 0.98, 'four sons', 4.0), ('0', 0.91, 'four sons', 4.0)]","[]","[]","[27,31,0]",,
3189,"how many nolan ryan rookie cards exist",132,132,"=",,,"sports",1,1,"weighted",132,"[(132.0, 0.98), (132.0, 0.98), (132.0, 0.86), (27.0, 0.98)]","[('12', 0.98, '132 cards', 132.0), ('14', 0.98, '132 cards', 132.0), ('24', 0.86, '132 cards', 132.0), ('39', 0.98, '27 cards', 27.0)]",1,1,52.5,1,"[('12', 0.98, '132 cards', 132.0), ('14', 0.98, '132 cards', 132.0), ('24', 0.86, '132 cards', 132.0)]","[('39', 0.98, '27 cards', 27.0)]","[]","[14,24]","[39]",
903,"how many big bazaar stores in india",259,259,"=",,,"organization",1,1,"weighted",250,"[(300.0, 0.65), (250.0, 0.98), (214.0, 0.93), (75.0, 0.94), (53.0, 0.56), (350.0, 0.96)]","[('1', 0.65, 'about 300+ stores', 300.0), ('5', 0.98, '250+ stores', 250.0), ('28', 0.93, '214 stores', 214.0), ('31', 0.94, '75 outlets', 75.0), ('34', 0.56, '53 standalone outlets', 53.0), ('45', 0.96, '350 stores', 350.0)]",0,0.97,120.11,1,"[('5', 0.98, '250+ stores', 250.0), ('1', 0.65, 'about 300+ stores', 300.0), ('28', 0.93, '214 stores', 214.0)]","[('31', 0.94, '75 outlets', 75.0), ('34', 0.56, '53 standalone outlets', 53.0)]","[('45', 0.96, '350 stores', 350.0)]","[1,28,45]","[31,34]",
2349,"how many hibbett sports stores are there",1082,1082,"=",,"from google KG","organization",1,1,"weighted",1067,"[(1000.0, 0.96), (1067.0, 0.98), (1067.0, 0.96)]","[('2', 0.96, '1000+ stores', 1000.0), ('16', 0.98, 'approximately 1,067', 1067.0), ('32', 0.96, 'approximately 1,067', 1067.0)]",0,0.99,38.68,1,"[('16', 0.98, 'approximately 1,067', 1067.0), ('32', 0.96, 'approximately 1,067', 1067.0), ('2', 0.96, '1000+ stores', 1000.0)]","[]","[]","[32,2]",,
481,"how many mayors in new york",110,110,"=",,"list available in wikipedia, time-bound","politics",1,1,"weighted",109,"[(109.0, 0.81)]","[('28', 0.81, '109 mayors', 109.0)]",0,0.99,,1,"[('28', '109 mayors')]",,,,,
3274,"how many population in texas","29M",29000000,"=",,"Time-bound","demography",0,1,"weighted",28000000,"[(28000000.0, 0.94), (29000000.0, 0.97), (26500000.0, 0.96)]","[('5', 0.94, 'almost 28 million', 28000000.0), ('10', 0.97, 'about 29 million people', 29000000.0), ('39', 0.96, 'approximately 26.5 million', 26500000.0)]",0,0.97,1258305.74,1,"[('5', 0.94, 'almost 28 million', 28000000.0), ('10', 0.97, 'about 29 million people', 29000000.0), ('39', 0.96, 'approximately 26.5 million', 26500000.0)]","[]","[]","[10,39]",,
3810,"how many uk citizens are there","67.88M",67880000,"=",,,"demography",0,1,"weighted",65599999,"[(66800000.0, 0.97), (65599999.99999999, 0.95), (3500000.0, 0.54)]","[('0', 0.97, 'estimated 66.8 million', 66800000.0), ('1', 0.95, '65.6 million', 65599999.99999999), ('7', 0.54, 'around 3.5 million EU citizens', 3500000.0)]",0,0.97,36204833.65,1,"[('1', 0.95, '65.6 million', 65599999.99999999), ('0', 0.97, 'estimated 66.8 million', 66800000.0)]","[('7', 0.54, 'around 3.5 million EU citizens', 3500000.0)]","[]","[0]","[7]",
2311,"how many students in gwinnett county schools","Over 188,000",188000,"=",,,"education",0,1,"weighted",180000,"[(180000.0, 0.97)]","[('33', 0.97, 'about 180,000', 180000.0)]",0,0.96,,1,"[('33', 'about 180,000')]",,,,,
